"id","sex","grade","school","class_id","condition","status","total_points","fwd_att","bwd_att"
"ctl501","M","fifth","school4","school4_fifth","control_1","participant",9,3,3
"ctl502","M","fifth","school4","school4_fifth","control_1","participant",3,1,0
"ctl503","M","fifth","school4","school4_fifth","control_1","participant",7,2,0
"ctl504","M","fifth","school4","school4_fifth","control_1","participant",6,1,0
"ctl505","F","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA
"ctl506","F","fifth","school4","school4_fifth","control_1","participant",5,1,0
"ctl507","M","fifth","school4","school4_fifth","control_1","participant",6,1,0
"ctl508","M","fifth","school4","school4_fifth","control_1","participant",5,1,0
"ctl509","M","fifth","school4","school4_fifth","control_1","participant",7,2,0
"ctl510","M","fifth","school4","school4_fifth","control_1","participant",18,2,3
"ctl511","F","fifth","school4","school4_fifth","control_1","participant",8,1,0
"ctl512","F","fifth","school4","school4_fifth","control_1","participant",2,1,0
"ctl513","F","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA
"ctl514","M","fifth","school4","school4_fifth","control_1","participant",6,1,0
"ctl515","M","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA
"ctl516","F","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA
"ctl517","M","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA
"ctl518","M","fifth","school4","school4_fifth","control_1","participant",17,1,2
"ctl519","M","fifth","school4","school4_fifth","control_1","participant",6,1,0
"ctl520","F","fifth","school4","school4_fifth","control_1","participant",5,1,0
"ctl521","M","fifth","school4","school4_fifth","control_1","participant",17,1,1
"ctl522","M","fifth","school4","school4_fifth","control_1","participant",1,3,0
"ctl523","F","fifth","school4","school4_fifth","control_1","participant",8,1,3
"ctl524","M","fifth","school4","school4_fifth","control_1","participant",7,1,0
"ctl525","M","fifth","school4","school4_fifth","control_1","participant",6,1,0
"ctlk01","F","kinder","school4","school4_kinder","control_1","rejected",NA,NA,NA
"ctlk02","F","kinder","school4","school4_kinder","control_1","participant",0,3,0
"ctlk03","M","kinder","school4","school4_kinder","control_1","participant",3,1,0
"ctlk04","F","kinder","school4","school4_kinder","control_1","participant",2,3,0
"ctlk05","F","kinder","school4","school4_kinder","control_1","participant",2,3,0
