"id","sex","grade","school","class_id","condition","status","respuesta_pregunta_1","tiempo_pregunta_1","respuesta_pregunta_2","tiempo_pregunta_2","respuesta_pregunta_3","tiempo_pregunta_3","respuesta_pregunta_4","tiempo_pregunta_4","respuesta_pregunta_5","tiempo_pregunta_5","respuesta_pregunta_6","tiempo_pregunta_6","respuesta_pregunta_7","tiempo_pregunta_7","respuesta_pregunta_8","tiempo_pregunta_8","respuesta_pregunta_9","tiempo_pregunta_9","respuesta_pregunta_10","tiempo_pregunta_10","respuesta_pregunta_11","tiempo_pregunta_11","respuesta_pregunta_12","tiempo_pregunta_12","respuesta_pregunta_13","tiempo_pregunta_13","respuesta_pregunta_14","tiempo_pregunta_14","respuesta_pregunta_15","tiempo_pregunta_15","respuesta_pregunta_16","tiempo_pregunta_16","respuesta_pregunta_17","tiempo_pregunta_17","respuesta_pregunta_18","tiempo_pregunta_18","respuesta_pregunta_19","tiempo_pregunta_19","respuesta_pregunta_20","tiempo_pregunta_20","respuesta_pregunta_21","tiempo_pregunta_21","respuesta_pregunta_22","tiempo_pregunta_22","respuesta_pregunta_23","tiempo_pregunta_23","respuesta_pregunta_24","tiempo_pregunta_24","dccs_tv_score","dccs_mean_acc","dccs_mean_rt"
"ctl501","M","fifth","school4","school4_fifth","control_1","participant",1,2687,1,5583,1,1641,1,5617,0,9331,1,1756,1,5388,1,1539,1,1135,1,1167,1,1620,1,1221,0,11133,0,4794,0,2759,1,2264,1,2393,1,1409,1,1429,1,1814,1,1381,1,1359,1,1975,1,1292,5.86813827290732,0.833333333333333,2233.5
"ctl502","M","fifth","school4","school4_fifth","control_1","participant",1,1429,1,914,1,617,1,824,1,1069,1,905,1,723,1,1235,1,1407,1,1615,1,1274,1,2680,0,1587,1,7204,1,981,1,1201,1,1047,1,704,1,812,1,857,1,695,0,974,1,1362,1,1079,7.49173698106465,0.916666666666667,1392.45454545455
"ctl503","M","fifth","school4","school4_fifth","control_1","participant",1,2662,1,865,1,1114,1,804,1,1005,1,903,1,648,1,1013,1,1815,1,884,1,692,1,774,1,1627,1,669,1,620,1,647,1,907,1,663,1,687,1,1093,1,912,1,648,1,913,1,878,8.41929249644755,1,976.791666666667
"ctl504","M","fifth","school4","school4_fifth","control_1","participant",0,1335,1,1187,1,1438,1,1454,1,1525,0,3321,1,1685,1,1493,1,1130,1,900,1,1485,1,3207,1,1260,1,641,1,936,1,703,1,698,1,1135,1,827,1,644,1,311,1,823,1,1055,1,1114,7.32784089268595,0.916666666666667,1165.95454545455
"ctl505","F","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctl506","F","fifth","school4","school4_fifth","control_1","participant",0,509,1,1401,1,1220,1,1328,1,1199,0,855,0,574,1,1190,1,1189,1,1308,1,1183,0,307,1,2153,1,1470,0,987,1,1670,1,1836,1,1472,0,938,0,1699,1,1000,1,1479,1,3031,1,1857,3.54166666666667,0.708333333333333,1528.58823529412
"ctl507","M","fifth","school4","school4_fifth","control_1","participant",1,2115,1,653,1,687,1,679,1,667,1,876,1,979,1,1285,1,987,1,848,1,1562,1,718,0,1540,1,1589,1,758,1,858,0,1002,0,1355,1,995,1,841,1,730,1,713,1,801,1,737,7.92395824333279,0.875,956.095238095238
"ctl508","M","fifth","school4","school4_fifth","control_1","participant",1,1321,1,882,0,880,1,1019,1,679,1,961,1,924,1,1057,1,744,1,952,1,813,1,729,1,1168,1,1014,1,642,1,1011,1,596,1,2804,1,5564,1,367,1,681,1,1019,1,914,1,1411,7.99467062052156,0.958333333333333,1185.73913043478
"ctl509","M","fifth","school4","school4_fifth","control_1","participant",1,1376,1,1082,1,1236,1,993,1,1657,1,1715,1,1299,1,994,1,1044,1,1185,0,1558,0,2397,1,2891,1,2200,0,1882,1,752,1,1808,1,1904,1,1793,1,1731,1,2073,1,2277,1,1183,1,1624,6.08761839959198,0.875,1562.71428571429
"ctl510","M","fifth","school4","school4_fifth","control_1","participant",1,1568,1,1200,1,1480,1,1348,1,1470,1,1213,1,918,1,930,1,944,1,1042,1,645,1,928,1,1630,1,743,1,703,0,954,0,840,1,1241,1,894,1,786,1,895,1,1879,1,908,1,761,7.8306561615285,0.916666666666667,1096.63636363636
"ctl511","F","fifth","school4","school4_fifth","control_1","participant",1,3391,1,845,1,657,1,1286,1,956,1,1088,1,1249,1,818,1,1322,1,1374,1,1437,1,949,1,2385,1,951,0,1060,1,1936,1,1212,1,820,1,1388,1,1385,1,778,1,1636,1,905,1,1691,7.23694203027949,0.958333333333333,1324.30434782609
"ctl512","F","fifth","school4","school4_fifth","control_1","participant",1,2563,1,1250,1,4622,1,816,1,607,1,928,1,1086,1,2020,1,1866,1,1413,1,1098,1,1001,1,1519,1,901,0,1110,1,2429,1,1472,1,1905,1,1345,1,2415,1,2204,1,929,0,968,1,4163,6.62667280451654,0.916666666666667,1752.36363636364
"ctl513","F","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctl514","M","fifth","school4","school4_fifth","control_1","participant",0,4512,1,1001,1,1019,1,727,1,753,1,1347,1,1645,1,1336,1,1983,1,1761,1,1116,1,818,0,2738,1,1025,1,598,1,504,1,2364,0,2222,1,2520,1,1759,1,1170,1,1993,1,2156,1,150,7.00260866073201,0.875,1321.19047619048
