"id","sex","grade","school","class_id","condition","status","respuesta_pregunta_1","tiempo_pregunta_1","respuesta_pregunta_2","tiempo_pregunta_2","respuesta_pregunta_3","tiempo_pregunta_3","respuesta_pregunta_4","tiempo_pregunta_4","respuesta_pregunta_5","tiempo_pregunta_5","respuesta_pregunta_6","tiempo_pregunta_6","respuesta_pregunta_7","tiempo_pregunta_7","respuesta_pregunta_8","tiempo_pregunta_8","respuesta_pregunta_9","tiempo_pregunta_9","respuesta_pregunta_10","tiempo_pregunta_10","respuesta_pregunta_11","tiempo_pregunta_11","respuesta_pregunta_12","tiempo_pregunta_12","respuesta_pregunta_13","tiempo_pregunta_13","respuesta_pregunta_14","tiempo_pregunta_14","respuesta_pregunta_15","tiempo_pregunta_15","respuesta_pregunta_16","tiempo_pregunta_16","respuesta_pregunta_17","tiempo_pregunta_17","respuesta_pregunta_18","tiempo_pregunta_18","respuesta_pregunta_19","tiempo_pregunta_19","respuesta_pregunta_20","tiempo_pregunta_20","respuesta_pregunta_21","tiempo_pregunta_21","respuesta_pregunta_22","tiempo_pregunta_22","respuesta_pregunta_23","tiempo_pregunta_23","respuesta_pregunta_24","tiempo_pregunta_24","dccs_tv_score","dccs_mean_acc","dccs_mean_rt"
"ctl501","M","fifth","school4","school4_fifth","control_1","participant",1,5138,1,2265,1,1015,1,2069,1,1312,1,1083,1,1394,1,1304,1,1125,1,1160,1,1610,1,847,1,1708,0,997,1,1603,1,1287,1,1992,1,2174,1,2382,1,1875,1,1989,1,1089,1,1864,1,2506,6.52844585037004,0.958333333333333,1773.52173913043
"ctl502","M","fifth","school4","school4_fifth","control_1","participant",1,1370,1,1171,1,1301,1,631,1,757,0,702,1,909,1,828,1,923,1,1017,1,747,1,991,1,1777,0,920,1,1385,1,1291,1,1089,1,1574,1,1951,1,1228,1,1241,1,1154,1,1097,1,1588,7.22888773522295,0.916666666666667,1182.72727272727
"ctl503","M","fifth","school4","school4_fifth","control_1","participant",1,3339,1,1291,1,3529,1,1648,1,1368,1,1228,1,1311,1,1193,1,1125,0,2516,1,1449,1,1395,1,3333,1,1559,1,2031,1,1091,0,846,1,2059,1,1171,1,730,1,1591,1,844,1,979,1,1274,6.83340063453467,0.916666666666667,1615.36363636364
"ctl504","M","fifth","school4","school4_fifth","control_1","participant",1,3667,1,2004,1,2393,1,5377,1,1314,1,1350,1,1465,1,630,1,191,1,766,1,2071,0,1378,1,2740,1,1338,1,692,1,807,1,1216,0,2485,1,1192,1,963,1,1156,1,695,1,1475,1,991,6.99308805018901,0.916666666666667,1567.86363636364
"ctl505","F","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctl506","F","fifth","school4","school4_fifth","control_1","participant",1,2442,1,3092,1,2155,1,2377,1,1098,1,1048,1,1057,1,999,1,4331,1,1278,1,1099,1,1115,1,4528,1,1982,1,1524,1,1405,1,1452,1,1237,1,1264,1,1155,1,1843,1,1215,1,1357,1,1036,7.2962800012137,1,1753.70833333333
"ctl507","M","fifth","school4","school4_fifth","control_1","participant",1,6523,1,2623,1,1795,1,667,1,513,1,655,1,517,1,494,1,564,0,509,1,1120,1,926,1,2052,1,1034,1,817,1,777,1,757,1,614,1,656,1,717,1,790,1,915,1,630,1,830,8.56150084498029,0.958333333333333,1173.30434782609
"ctl508","M","fifth","school4","school4_fifth","control_1","participant",1,3259,1,1430,1,968,1,942,1,843,1,982,1,959,1,1747,1,594,1,823,1,1025,1,863,1,1308,1,1173,1,1053,1,1007,1,964,1,636,1,2177,1,1202,1,790,1,2482,1,3265,1,621,8.08112636857421,1,1296.375
"ctl509","M","fifth","school4","school4_fifth","control_1","participant",1,2112,1,1833,1,1513,1,1369,1,1919,1,2893,1,1410,1,1160,1,1064,1,1578,1,1390,1,1147,1,2178,1,1852,1,1885,1,1850,1,3708,1,3241,1,2445,1,2136,1,1607,1,3050,1,1738,1,1176,6.36187875701694,1,1927.25
"ctl510","M","fifth","school4","school4_fifth","control_1","participant",1,1827,1,1284,1,903,1,924,1,973,1,1086,1,1014,1,1130,1,2035,1,1989,1,974,1,1054,0,1235,0,1004,1,1360,1,1258,1,1984,1,1136,1,1073,0,2734,1,769,1,1086,1,1189,1,1004,7.21051192168148,0.875,1240.57142857143
