"id","sex","grade","school","class_id","condition","eval_pre","eval_post","status","age_mths","ed_level","esp_fl","foreign_born","activity","name","time","attendence"
"ctl501","M","fifth","school4","school4_fifth","control_1","evaluated","evaluated","participant",135.9,"3","F","F","F","NA",NA,NA
"ctl502","M","fifth","school4","school4_fifth","control_1","evaluated","evaluated","participant",132.3,"3","F","F","F","NA",NA,NA
"ctl503","M","fifth","school4","school4_fifth","control_1","evaluated","evaluated","participant",136.766666666667,"3","F","F","F","sports",180,NA
"ctl504","M","fifth","school4","school4_fifth","control_1","evaluated","evaluated","participant",133.966666666667,"2","F","F","F","NA",NA,NA
"ctl505","F","fifth","school4","school4_fifth","control_1",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"ctl506","F","fifth","school4","school4_fifth","control_1","evaluated","evaluated","participant",130.833333333333,"3","F","F","F","NA",NA,NA
"ctl507","M","fifth","school4","school4_fifth","control_1","evaluated","evaluated","participant",154.766666666667,"3","F","F","F","NA",NA,NA
"ctl508","M","fifth","school4","school4_fifth","control_1","evaluated","evaluated","participant",134.9,"2","F","F","F","NA",NA,NA
"ctl509","M","fifth","school4","school4_fifth","control_1","evaluated","evaluated","participant",138.733333333333,"2","F","F","F","NA",NA,NA
"ctl510","M","fifth","school4","school4_fifth","control_1","evaluated","evaluated","participant",133,"4","F","F","F","NA",NA,NA
"ctl511","F","fifth","school4","school4_fifth","control_1","evaluated","evaluated","participant",141.366666666667,"3","F","F","F","NA",NA,NA
"ctl512","F","fifth","school4","school4_fifth","control_1","evaluated","evaluated","participant",137.433333333333,"3","F","F","F","NA",NA,NA
"ctl513","F","fifth","school4","school4_fifth","control_1",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"ctl514","M","fifth","school4","school4_fifth","control_1","evaluated","evaluated","participant",134.166666666667,"1","F","F","T","sports",150,NA
"ctl515","M","fifth","school4","school4_fifth","control_1",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"ctl516","F","fifth","school4","school4_fifth","control_1",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"ctl517","M","fifth","school4","school4_fifth","control_1",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"ctl518","M","fifth","school4","school4_fifth","control_1","evaluated","evaluated","participant",130.433333333333,"3","F","F","T","sports",120,NA
"ctl519","M","fifth","school4","school4_fifth","control_1","evaluated","evaluated","participant",139.066666666667,"3","F","F","F","NA",NA,NA
"ctl520","F","fifth","school4","school4_fifth","control_1","evaluated","evaluated","participant",136.1,"3","F","F","F","NA",NA,NA
"ctl521","M","fifth","school4","school4_fifth","control_1","evaluated","evaluated","participant",137.8,"4","F","F","T","sports",120,NA
"ctl522","M","fifth","school4","school4_fifth","control_1","evaluated","evaluated","participant",135.033333333333,"3","F","F","F","NA",NA,NA
"ctl523","F","fifth","school4","school4_fifth","control_1","evaluated","evaluated","participant",131.866666666667,"3","F","F","F","NA",NA,NA
"ctl524","M","fifth","school4","school4_fifth","control_1","evaluated","evaluated","participant",129.933333333333,"3","F","F","T","sports",60,NA
"ctl525","M","fifth","school4","school4_fifth","control_1","evaluated","evaluated","participant",130.866666666667,"3","F","F","T","sports",90,NA
"ctlk01","F","kinder","school4","school4_kinder","control_1",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"ctlk02","F","kinder","school4","school4_kinder","control_1","evaluated","evaluated","participant",68.5333333333333,"2","F","F","F","NA",NA,NA
"ctlk03","M","kinder","school4","school4_kinder","control_1","evaluated","evaluated","participant",71.5666666666667,"3","F","F","F","NA",NA,NA
"ctlk04","F","kinder","school4","school4_kinder","control_1","evaluated","evaluated","participant",71.5666666666667,"3","F","F","F","NA",NA,NA
"ctlk05","F","kinder","school4","school4_kinder","control_1","evaluated","evaluated","participant",77.8333333333333,"3","F","F","F","NA",NA,NA
"ctlk06","M","kinder","school4","school4_kinder","control_1","evaluated","evaluated","participant",76.0333333333333,"1","T","T","F","NA",NA,NA
"ctlk07","M","kinder","school4","school4_kinder","control_1","evaluated","evaluated","participant",70.6333333333333,"2","F","F","F","NA",NA,NA
"ctlk08","M","kinder","school4","school4_kinder","control_1","evaluated","evaluated","participant",68.2333333333333,"3","F","F","F","NA",NA,NA
"ctlk09","M","kinder","school4","school4_kinder","control_1","evaluated","evaluated","participant",72.2666666666667,"3","F","F","F","NA",NA,NA
"ctlk10","M","kinder","school4","school4_kinder","control_1","evaluated","evaluated","participant",71.9,"4","F","F","F","NA",NA,NA
"ctlk11","M","kinder","school4","school4_kinder","control_1","evaluated","evaluated","participant",77.9,"1","F","F","F","NA",NA,NA
"ctlk12","M","kinder","school4","school4_kinder","control_1","evaluated","evaluated","participant",76.7333333333333,"2","F","F","F","NA",NA,NA
"ctlk13","F","kinder","school4","school4_kinder","control_1","evaluated","evaluated","participant",70.2666666666667,"3","F","F","F","NA",NA,NA
"ctlk14","M","kinder","school4","school4_kinder","control_1","evaluated","evaluated","participant",70.2666666666667,"3","F","F","F","NA",NA,NA
"ctlk15","M","kinder","school4","school4_kinder","control_1","evaluated","evaluated","participant",76.2666666666667,"2","F","F","T","sports",60,NA
"ctlk16","F","kinder","school4","school4_kinder","control_1","evaluated","evaluated","participant",75.2,"2","F","F","F","NA",NA,NA
"ctlk17","F","kinder","school4","school4_kinder","control_1","evaluated","evaluated","participant",79.3333333333333,"3","F","F","T","church",120,NA
