"id","sex","grade","school","ed_level","attendence","condition2","cond_grade2","time","corsi","hnf","dccs","woodcock","tejas","time_lab","ed_level_c"
"ctl501","M","fifth","school4",3,0,"control","control_fifth",0,5,7.29842219181236,6.52844585037004,68,70,"pre",2
"ctl501","M","fifth","school4",3,0,"control","control_fifth",1,9,4.3895743100337,5.86813827290732,63,66,"post",2
"ctl502","M","fifth","school4",3,0,"control","control_fifth",0,7,6.42349217618143,7.22888773522295,62,60,"pre",2
"ctl502","M","fifth","school4",3,0,"control","control_fifth",1,3,5.32624196255276,7.49173698106465,65,61,"post",2
"ctl503","M","fifth","school4",3,0,"control","control_fifth",0,5,8.07148037438175,6.83340063453467,72,68,"pre",2
"ctl503","M","fifth","school4",3,0,"control","control_fifth",1,7,8.20836653420144,8.41929249644755,72,70,"post",2
"ctl504","M","fifth","school4",2,0,"control","control_fifth",0,7,8.49223786902379,6.99308805018901,61,65,"pre",1
"ctl504","M","fifth","school4",2,0,"control","control_fifth",1,6,6.73740199186042,7.32784089268595,65,70,"post",1
"ctl506","F","fifth","school4",3,0,"control","control_fifth",0,7,8.32477304049712,7.2962800012137,64,67,"pre",2
"ctl506","F","fifth","school4",3,0,"control","control_fifth",1,5,7.19480268542695,3.54166666666667,67,65,"post",2
"ctl507","M","fifth","school4",3,0,"control","control_fifth",0,5,3.42776102281261,8.56150084498029,45,43,"pre",2
"ctl507","M","fifth","school4",3,0,"control","control_fifth",1,6,3.6984285480395,7.92395824333279,47,45,"post",2
"ctl508","M","fifth","school4",2,0,"control","control_fifth",0,7,6.14020214338286,8.08112636857421,64,62,"pre",1
"ctl508","M","fifth","school4",2,0,"control","control_fifth",1,5,6.50522849272541,7.99467062052156,67,63,"post",1
"ctl509","M","fifth","school4",2,0,"control","control_fifth",0,7,6.62854028833238,6.36187875701694,65,55,"pre",1
"ctl509","M","fifth","school4",2,0,"control","control_fifth",1,7,7.33362203655303,6.08761839959198,67,65,"post",1
"ctl510","M","fifth","school4",4,0,"control","control_fifth",0,16,8.36473430514767,7.21051192168148,65,58,"pre",3
"ctl510","M","fifth","school4",4,0,"control","control_fifth",1,18,8.1662399499519,7.8306561615285,65,68,"post",3
"ctl511","F","fifth","school4",3,0,"control","control_fifth",0,6,7.98958047863652,6.9104955580841,69,66,"pre",2
"ctl511","F","fifth","school4",3,0,"control","control_fifth",1,8,7.9976187328807,7.23694203027949,70,68,"post",2
"ctl512","F","fifth","school4",3,0,"control","control_fifth",0,6,5.16650283815304,7.17303916168427,61,60,"pre",2
"ctl512","F","fifth","school4",3,0,"control","control_fifth",1,2,3.39396836347999,6.62667280451654,62,69,"post",2
"ctl514","M","fifth","school4",1,0,"control","control_fifth",0,6,8.44612966357568,7.20463570355969,63,67,"pre",0
"ctl514","M","fifth","school4",1,0,"control","control_fifth",1,6,8.55875575857014,7.00260866073201,65,67,"post",0
"ctl518","M","fifth","school4",3,0,"control","control_fifth",0,9,8.32386199472853,7.67904909911514,70,65,"pre",2
"ctl518","M","fifth","school4",3,0,"control","control_fifth",1,17,8.04675621398112,8.04211650329843,65,70,"post",2
"ctl519","M","fifth","school4",3,0,"control","control_fifth",0,6,7.67607530966049,3.75,66,70,"pre",2
"ctl519","M","fifth","school4",3,0,"control","control_fifth",1,6,6.82619850738704,6.382411601959,66,69,"post",2
"ctl520","F","fifth","school4",3,0,"control","control_fifth",0,6,7.27366128370619,6.77472440155094,65,71,"pre",2
"ctl520","F","fifth","school4",3,0,"control","control_fifth",1,5,6.3169612101663,7.95628847986847,70,70,"post",2
"ctl521","M","fifth","school4",4,0,"control","control_fifth",0,7,7.76504218057678,8.09008344053309,71,71,"pre",3
"ctl521","M","fifth","school4",4,0,"control","control_fifth",1,17,7.69241022399348,6.7998848331768,72,68,"post",3
"ctl522","M","fifth","school4",3,0,"control","control_fifth",0,0,2.71464646464646,5.54297869650809,66,64,"pre",2
"ctl522","M","fifth","school4",3,0,"control","control_fifth",1,1,2.57575757575758,6.59815264637841,67,62,"post",2
"ctl523","F","fifth","school4",3,0,"control","control_fifth",0,9,7.56089109200823,6.6810091634426,70,70,"pre",2
"ctl523","F","fifth","school4",3,0,"control","control_fifth",1,8,6.32659031925414,7.73457117300001,72,72,"post",2
"ctl524","M","fifth","school4",3,0,"control","control_fifth",0,6,5.94802721781043,5.75658515796251,52,50,"pre",2
