"id","sex","grade","school","class_id","condition","status","hnf_total","score_hearts","time_seconds_hearts","score_flowers","time_seconds_flowers","score_heart_flowers","time_seconds_heart_flowers","total_time","pregunta_7","pregunta_7_time","pregunta_8","pregunta_8_time","pregunta_9","pregunta_9_time","pregunta_10","pregunta_10_time","pregunta_11","pregunta_11_time","pregunta_12","pregunta_12_time","pregunta_13","pregunta_13_time","pregunta_14","pregunta_14_time","pregunta_15","pregunta_15_time","pregunta_16","pregunta_16_time","pregunta_17","pregunta_17_time","pregunta_18","pregunta_18_time","pregunta_25","pregunta_25_time","pregunta_26","pregunta_26_time","pregunta_27","pregunta_27_time","pregunta_28","pregunta_28_time","pregunta_29","pregunta_29_time","pregunta_30","pregunta_30_time","pregunta_31","pregunta_31_time","pregunta_32","pregunta_32_time","pregunta_33","pregunta_33_time","pregunta_34","pregunta_34_time","pregunta_35","pregunta_35_time","pregunta_36","pregunta_36_time","pregunta_37","pregunta_37_time","pregunta_38","pregunta_38_time","pregunta_39","pregunta_39_time","pregunta_40","pregunta_40_time","pregunta_41","pregunta_41_time","pregunta_42","pregunta_42_time","pregunta_43","pregunta_43_time","pregunta_44","pregunta_44_time","pregunta_45","pregunta_45_time","pregunta_46","pregunta_46_time","pregunta_47","pregunta_47_time","pregunta_48","pregunta_48_time","pregunta_49","pregunta_49_time","pregunta_50","pregunta_50_time","pregunta_51","pregunta_51_time","pregunta_52","pregunta_52_time","pregunta_53","pregunta_53_time","pregunta_54","pregunta_54_time","pregunta_55","pregunta_55_time","pregunta_56","pregunta_56_time","pregunta_57","pregunta_57_time","pregunta_58","pregunta_58_time","pregunta_59","pregunta_59_time","pregunta_60","pregunta_60_time","pregunta_61","pregunta_61_time","pregunta_62","pregunta_62_time","pregunta_63","pregunta_63_time","pregunta_64","pregunta_64_time","pregunta_65","pregunta_65_time","pregunta_66","pregunta_66_time","pregunta_67","pregunta_67_time","pregunta_68","pregunta_68_time","pregunta_69","pregunta_69_time","nih_score_hearts","nih_score_flowers","nih_score_mixed","nih_score_overall","nih_score_overall_57","ies_hearts","ies_flowers","ies_mixed","ies_overall","acc_prop_hearts","acc_prop_flowers","acc_prop_mixed","acc_prop_overall","rt_mean_hearts","rt_mean_flowers","rt_mean_mixed","rt_mean_overall","rt_sd_hearts","rt_sd_flowers","rt_sd_mixed","rt_sd_overall"
"ctl501","M","fifth","school4","school4_fifth","control_1","participant",35,11,14588,8,15528,16,44927,75043,1,1736,0,2000,1,295,1,983,1,948,1,1077,1,1074,1,1089,1,1554,1,1351,1,1218,1,1263,1,1474,1,1029,1,1091,1,892,1,1142,0,2000,0,2000,1,1243,1,779,1,1044,0,834,0,2000,1,1342,0,1348,0,2000,0,1599,1,1181,1,1169,1,1005,0,2000,1,1342,1,1206,0,2000,0,1228,0,1474,1,1171,0,1353,1,1213,0,2000,1,209,0,2000,0,1177,1,1268,0,2000,1,329,0,1096,0,946,1,1208,1,1809,0,1757,0,1021,0,1290,1,1505,1,1138,1,1543,7.41114717252535,3.33333333333333,2.42424242424242,4.3895743100337,3.07017543859649,1248.39669421488,1630.125,2402.5546875,1760.35879390496,0.916666666666667,0.666666666666667,0.484848484848485,0.614035087719298,1215.66666666667,1294,1361.42424242424,1316.54385964912,431.667450566739,463.756989655731,436.543528063284,437.288972378001
"ctl502","M","fifth","school4","school4_fifth","control_1","participant",47,9,13403,12,11668,26,44879,69950,1,964,1,1324,1,1021,0,1175,1,864,0,2000,0,59,1,1616,1,887,1,1110,1,908,1,1475,1,976,1,928,1,1786,1,836,1,959,1,821,1,918,1,881,1,809,1,997,1,1055,1,702,1,949,0,732,1,1163,1,1309,1,922,1,1182,1,1086,1,1290,1,1308,1,1121,1,1647,1,1287,1,1383,1,1134,1,1297,1,1090,0,1764,1,1428,1,1416,0,2000,1,1545,1,1261,0,2000,1,1792,0,2000,0,2000,1,1256,1,1132,0,2000,1,935,1,1263,1,1253,1,934,3.75,8.28933194826433,3.93939393939394,5.32624196255276,6.86980280990374,1506.51851851852,972.333333333333,1580.82692307692,1353.22625830959,0.75,1,0.787878787878788,0.824561403508772,1116.91666666667,972.333333333333,1359.9696969697,1227.19298245614,478.225404886428,273.727247567001,357.053959931871,399.254637623861
"ctl503","M","fifth","school4","school4_fifth","control_1","participant",52,12,8712,12,10584,28,36648,55944,1,654,1,654,1,665,1,766,1,785,1,722,1,754,1,669,1,658,1,762,1,794,1,829,1,715,1,745,1,977,1,816,1,809,1,1015,1,887,1,801,1,692,1,931,1,1442,1,754,1,944,0,1068,1,988,1,914,1,853,1,1023,1,1109,1,1352,0,2000,0,523,0,1002,1,1019,1,922,1,1379,1,939,1,1240,1,1521,1,1256,1,938,1,1229,1,1129,1,1109,1,1593,0,953,1,965,1,1006,1,980,1,1100,1,1081,1,944,1,1180,1,1236,1,1153,8.91353796961928,8.64516464369274,7.06639698929231,8.20836653420144,7.79535661312562,726,882,1309.14030612245,972.380102040816,1,1,0.848484848484849,0.912280701754386,726,882,1110.54545454545,981.473684210526,63.5123466880116,204.078416301186,257.232760708698,269.642760045792
"ctl504","M","fifth","school4","school4_fifth","control_1","participant",47,12,12752,12,11990,23,37363,62105,1,1004,1,763,1,852,1,766,1,902,1,882,1,658,1,797,1,760,1,862,1,1744,1,1762,1,953,1,1476,1,885,1,833,1,863,1,755,1,791,1,969,1,1463,1,1067,1,1003,1,932,1,1881,0,1527,0,1069,1,1042,1,928,1,847,1,994,0,779,1,826,1,1061,0,978,1,933,1,1019,1,890,0,1037,1,1002,1,1497,1,1198,1,821,1,765,0,2000,1,967,1,906,1,946,1,1106,1,817,0,2000,0,2000,0,2000,0,867,1,781,1,892,1,987,8.49636675728653,8.23099073344624,3.48484848484848,6.73740199186042,7.39706300729888,979.333333333333,999.166666666667,1441.39508506616,1139.96502835539,1,1,0.696969696969697,0.824561403508772,979.333333333333,999.166666666667,1132.21212121212,1072.01754385965,371.758067304612,236.80019707199,400.092782799796,367.077769651652
"ctl505","F","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctl506","F","fifth","school4","school4_fifth","control_1","participant",51,11,12910,10,12415,30,44762,70087,1,1504,0,879,1,999,1,1609,1,1257,1,872,1,869,1,1418,1,1194,1,259,1,767,1,1283,1,647,0,1158,1,1752,1,825,1,1709,0,573,1,522,1,1077,1,549,1,811,1,868,1,924,1,1522,1,1322,0,359,0,464,1,1358,1,1084,1,718,1,1715,1,1773,1,1980,1,1817,1,631,1,551,1,1845,1,1911,1,1914,1,1874,1,391,1,1490,1,1739,0,403,1,1683,1,1269,1,1160,1,1350,1,1152,1,1382,1,1428,1,989,1,1308,1,1591,1,555,1,1034,7.15427906996903,7.6974345733159,6.73269441299592,7.19480268542695,6.87462896542285,1193.15702479339,1162.08,1486.32,1280.51900826446,0.916666666666667,0.833333333333333,0.909090909090909,0.894736842105263,1075.83333333333,951.25,1265.51515151515,1159.42105263158,377.304273964019,415.487473829345,511.626946686507,478.400831168966
"ctl507","M","fifth","school4","school4_fifth","control_1","participant",28,12,10082,0,9880,16,26744,46706,1,827,1,771,1,769,1,745,1,874,1,841,1,811,1,732,1,792,1,799,1,1251,1,870,0,1090,0,796,0,811,0,820,0,862,0,819,0,718,0,881,0,791,0,821,0,768,0,703,0,854,1,849,1,1040,1,807,0,677,0,708,0,851,1,679,0,712,0,662,1,710,1,812,1,933,0,744,1,763,0,705,0,723,0,836,1,781,1,726,0,836,1,703,0,781,1,797,1,1051,0,1033,0,734,1,1009,1,869,1,762,0,929,0,847,0,821,8.67104321987608,0,2.42424242424242,3.6984285480395,2.45614035087719,840.166666666667,NA,1713.29296875,NA,1,0,0.484848484848485,0.491228070175439,840.166666666667,823.333333333333,810.424242424242,819.40350877193,137.001548321266,98.4187097265679,109.176757572019,111.999499305182
"ctl508","M","fifth","school4","school4_fifth","control_1","participant",50,12,12915,9,10908,29,34182,58005,1,1572,1,962,1,877,1,747,1,1698,1,953,1,770,1,1897,1,999,1,882,1,802,1,756,1,959,0,716,1,1098,1,833,0,820,0,1133,1,1009,1,935,1,866,1,899,1,905,1,735,1,1123,1,1264,1,1863,1,1497,1,1110,1,1209,1,1097,1,831,0,2000,1,216,1,990,0,932,1,1000,1,1023,1,1117,0,761,1,1060,1,958,1,1320,1,1037,1,946,1,789,1,827,1,1125,1,798,1,876,1,908,1,862,0,1321,1,795,1,1009,1,747,1,771,8.30601012040956,3.75,7.45967535776669,6.50522849272541,7.57872829268813,1076.25,1220.59259259259,1144.52318668252,1147.12192642504,1,0.75,0.878787878787879,0.87719298245614,1076.25,909,1035.81818181818,1017.63157894737,404.248376620117,128.720980842639,324.333205837902,314.521951969456
"ctl509","M","fifth","school4","school4_fifth","control_1","participant",52,12,14512,12,13173,28,47311,74996,1,1223,1,1231,1,1103,1,1190,1,1026,1,1122,1,1128,1,1655,1,1516,1,1033,1,1091,1,1194,1,721,1,1033,1,1160,1,1040,1,1288,1,1159,1,1967,1,1216,1,750,1,1025,1,832,1,982,1,1441,0,1223,0,2000,1,1221,1,1624,1,1395,0,2000,1,1436,1,1393,1,1106,1,1564,1,1413,1,1527,1,899,1,1566,1,1533,1,1249,0,2000,1,1172,1,914,1,1060,1,1159,1,1186,0,2000,1,1208,1,1198,1,1949,1,1369,1,1443,1,1281,1,1398,1,1723,1,1661,7.65396874034727,7.96569560263656,6.38120176667525,7.33362203655303,7.09059455418459,1209.33333333333,1097.75,1603.19387755102,1303.42573696145,1,1,0.848484848484849,0.912280701754386,1209.33333333333,1097.75,1433.66666666667,1315.71929824561,190.25931267774,326.567861526235,308.424491029274,321.279348541886
"ctl510","M","fifth","school4","school4_fifth","control_1","participant",54,12,10499,12,11633,30,35263,57395,1,709,1,749,1,720,1,745,1,1560,1,1072,1,1011,1,822,1,676,1,829,1,779,1,827,1,1170,1,1020,1,914,1,1254,1,1002,1,1120,1,846,1,904,1,806,1,848,1,945,1,804,0,2000,1,1858,1,1074,1,1270,1,1189,1,916,1,1041,1,1087,1,1333,1,955,1,1008,1,963,1,859,1,865,1,1027,1,1035,1,900,1,1137,1,969,1,833,1,997,1,1133,1,1025,0,861,1,946,1,1062,1,848,1,779,0,957,1,1437,1,1025,1,1035,1,839,8.68668634909646,8.26974903889739,7.54228446186184,8.1662399499519,7.89910733365887,874.916666666667,969.416666666667,1152.98333333333,999.105555555555,1,1,0.909090909090909,0.947368421052632,874.916666666667,969.416666666667,1068.57575757576,1006.9298245614,246.23213671557,147.557359160512,265.773873610518,250.649360921439
