"id","sex","grade","school","class_id","condition","status","hnf_total","score_hearts","time_seconds_hearts","score_flowers","time_seconds_flowers","score_heart_flowers","time_seconds_heart_flowers","total_time","pregunta_7","pregunta_7_time","pregunta_8","pregunta_8_time","pregunta_9","pregunta_9_time","pregunta_10","pregunta_10_time","pregunta_11","pregunta_11_time","pregunta_12","pregunta_12_time","pregunta_13","pregunta_13_time","pregunta_14","pregunta_14_time","pregunta_15","pregunta_15_time","pregunta_16","pregunta_16_time","pregunta_17","pregunta_17_time","pregunta_18","pregunta_18_time","pregunta_25","pregunta_25_time","pregunta_26","pregunta_26_time","pregunta_27","pregunta_27_time","pregunta_28","pregunta_28_time","pregunta_29","pregunta_29_time","pregunta_30","pregunta_30_time","pregunta_31","pregunta_31_time","pregunta_32","pregunta_32_time","pregunta_33","pregunta_33_time","pregunta_34","pregunta_34_time","pregunta_35","pregunta_35_time","pregunta_36","pregunta_36_time","pregunta_37","pregunta_37_time","pregunta_38","pregunta_38_time","pregunta_39","pregunta_39_time","pregunta_40","pregunta_40_time","pregunta_41","pregunta_41_time","pregunta_42","pregunta_42_time","pregunta_43","pregunta_43_time","pregunta_44","pregunta_44_time","pregunta_45","pregunta_45_time","pregunta_46","pregunta_46_time","pregunta_47","pregunta_47_time","pregunta_48","pregunta_48_time","pregunta_49","pregunta_49_time","pregunta_50","pregunta_50_time","pregunta_51","pregunta_51_time","pregunta_52","pregunta_52_time","pregunta_53","pregunta_53_time","pregunta_54","pregunta_54_time","pregunta_55","pregunta_55_time","pregunta_56","pregunta_56_time","pregunta_57","pregunta_57_time","pregunta_58","pregunta_58_time","pregunta_59","pregunta_59_time","pregunta_60","pregunta_60_time","pregunta_61","pregunta_61_time","pregunta_62","pregunta_62_time","pregunta_63","pregunta_63_time","pregunta_64","pregunta_64_time","pregunta_65","pregunta_65_time","pregunta_66","pregunta_66_time","pregunta_67","pregunta_67_time","pregunta_68","pregunta_68_time","pregunta_69","pregunta_69_time","nih_score_hearts","nih_score_flowers","nih_score_mixed","nih_score_overall","nih_score_overall_57","ies_hearts","ies_flowers","ies_mixed","ies_overall","acc_prop_hearts","acc_prop_flowers","acc_prop_mixed","acc_prop_overall","rt_mean_hearts","rt_mean_flowers","rt_mean_mixed","rt_mean_overall","rt_sd_hearts","rt_sd_flowers","rt_sd_mixed","rt_sd_overall"
"ctl501","M","fifth","school4","school4_fifth","control_1","participant",54,12,15289,12,14905,30,44788,74982,1,1155,1,1021,1,1081,1,1270,1,1234,1,1127,1,1354,1,1566,1,1208,1,1074,1,1042,1,2157,1,1654,1,965,1,1049,1,1106,1,1315,1,1300,1,1174,1,1134,1,1070,1,1413,1,1418,1,1307,0,2000,1,295,0,2000,1,1351,1,1604,1,1376,1,1495,1,1169,1,1410,1,1394,1,1468,1,1240,1,1122,1,1436,1,1336,1,1407,1,1621,0,2000,1,1317,1,1380,1,1411,1,1105,1,1242,1,1150,1,1206,1,1197,1,1252,1,1200,1,1127,1,1592,1,1221,1,1123,1,1541,7.60031406845235,7.47221574790795,6.82273675907678,7.29842219181236,7.18658951010993,1274.08333333333,1242.08333333333,1422.22666666667,1312.79777777778,1,1,0.909090909090909,0.947368421052632,1274.08333333333,1242.08333333333,1357.21212121212,1315.47368421053,317.400938972471,195.686418134791,309.849031543565,291.066027441931
"ctl502","M","fifth","school4","school4_fifth","control_1","participant",50,11,9009,9,15223,30,42058,66290,1,972,0,457,1,747,1,732,1,736,1,664,1,679,1,758,1,860,1,867,1,838,1,699,1,1072,1,1053,0,2000,1,1652,1,1287,1,1108,1,792,0,680,0,2000,1,1289,1,1054,1,1236,1,1307,1,1069,1,1037,1,1745,1,1233,1,906,1,1292,1,1447,1,1145,1,1460,1,1428,1,1569,1,963,1,1050,1,1240,1,1133,0,1301,1,1206,1,1069,1,1328,1,1536,1,1148,1,884,1,1260,1,1072,1,1199,0,1306,1,1202,1,1492,1,1574,1,1317,0,2000,1,1140,8.46304600234581,3.75,7.05743052619847,6.42349217618143,7.09464021448474,848.132231404959,1561.92592592593,1373.20333333333,1261.08716355474,0.916666666666667,0.75,0.909090909090909,0.87719298245614,750.75,1268.58333333333,1274.48484848485,1162.98245614035,129.435926584967,420.960256887498,239.956912956801,342.246751587844
"ctl503","M","fifth","school4","school4_fifth","control_1","participant",56,12,10108,12,12484,32,41307,63899,1,839,1,782,1,813,1,788,1,787,1,1249,1,868,1,810,1,792,1,758,1,841,1,781,1,1434,1,795,1,1067,1,963,1,1201,1,901,1,958,1,986,1,968,1,1129,1,1060,1,1022,1,1311,1,1180,1,963,1,1072,1,881,1,1301,1,1086,1,1328,1,1328,1,1131,1,1299,1,1075,1,1077,1,1348,1,1121,1,1326,0,2000,1,1189,1,1145,1,1051,1,1037,1,1161,1,1188,1,1859,1,1729,1,1536,1,1254,1,1113,1,1063,1,1016,1,1737,1,1270,1,1132,8.68494388689014,8.05459601636755,7.47490121988757,8.07148037438175,7.77360736009842,842.333333333333,1040.33333333333,1266.7294921875,1049.79871961806,1,1,0.96969696969697,0.982456140350877,842.333333333333,1040.33333333333,1251.72727272727,1121.0350877193,131.77690053705,162.544725779669,257.732937447767,273.247334643404
"ctl504","M","fifth","school4","school4_fifth","control_1","participant",56,12,9802,11,10889,33,31526,52217,1,1577,1,1340,1,738,1,646,1,676,1,683,1,612,1,724,1,659,1,675,1,783,1,689,1,955,1,831,1,872,1,748,1,818,1,747,0,1422,1,1081,1,900,1,907,1,748,1,860,1,1329,1,913,1,948,1,821,1,1219,1,859,1,992,1,965,1,1003,1,892,1,1133,1,1068,1,725,1,1042,1,816,1,902,1,1005,1,973,1,865,1,912,1,1132,1,807,1,1081,1,1022,1,901,1,902,1,923,1,870,1,737,1,790,1,1080,1,909,1,990,9.11743307420624,8.06994858460082,8.28933194826433,8.49223786902379,8.27048090580495,816.833333333333,938.876033057851,955.333333333333,903.680899908173,1,0.916666666666667,1,0.982456140350877,816.833333333333,907.416666666667,955.333333333333,916.087719298246,307.155522742983,188.569957278138,133.159600354862,196.681784389854
"ctl505","F","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctl506","F","fifth","school4","school4_fifth","control_1","participant",57,12,9626,12,10869,33,37656,58151,1,766,1,768,1,774,1,766,1,876,1,766,1,773,1,791,1,761,1,862,1,813,1,910,1,929,1,827,1,905,1,837,1,884,1,873,1,908,1,875,1,1106,1,976,1,770,1,979,1,903,1,1010,1,827,1,1197,1,1019,1,1002,1,1076,1,1053,1,1258,1,1147,1,978,1,1352,1,1051,1,1082,1,1079,1,1264,1,1162,1,1140,1,1127,1,1080,1,1169,1,1063,1,1046,1,1208,1,1166,1,1094,1,1090,1,1258,1,1411,1,1288,1,1910,1,1038,1,1108,8.78243263372034,8.37685578193936,7.81503070583165,8.32477304049712,8.01321285856725,802.166666666667,905.75,1141.09090909091,949.669191919192,1,1,1,1,802.166666666667,905.75,1141.09090909091,1020.19298245614,51.6383108894467,86.7568441104216,183.585192015241,207.044201508871
"ctl507","M","fifth","school4","school4_fifth","control_1","participant",26,10,11085,1,9987,15,30126,51198,0,1545,0,615,1,1123,1,903,1,854,1,911,1,774,1,907,1,812,1,803,1,988,1,850,1,1142,0,874,0,996,0,840,0,872,0,876,0,710,0,743,0,696,0,637,0,734,0,867,0,873,0,1502,1,1128,1,872,0,688,0,748,0,709,1,906,0,805,0,816,1,1031,1,1784,1,1579,0,772,1,879,0,817,0,812,0,902,1,841,1,762,0,876,1,939,0,775,1,824,1,1047,0,942,0,674,1,767,1,755,1,847,0,828,0,756,0,870,7.59388912904389,0.416666666666667,2.27272727272727,3.42776102281261,2.28070175438596,1071,13704,2194.28,5656.42666666667,0.833333333333333,0.0833333333333333,0.454545454545455,0.456140350877193,923.75,832.25,912.909090909091,898.210526315789,230.765179742998,140.943009114258,250.685480687001,226.87478743336
"ctl508","M","fifth","school4","school4_fifth","control_1","participant",37,12,9849,10,11218,15,35138,56205,1,1013,1,921,1,1443,1,712,1,704,1,711,1,688,1,680,1,800,1,727,1,751,1,699,1,1189,1,616,0,719,1,1015,1,1035,1,886,1,821,1,1035,0,775,1,926,1,1110,1,1091,1,1366,0,1532,0,1292,0,1334,1,1031,1,738,0,995,0,1090,1,907,1,891,0,1809,0,1363,0,1251,1,788,1,1028,1,1006,1,775,0,734,0,482,0,1049,1,867,0,782,1,956,0,1101,0,996,1,729,1,852,0,1015,0,1505,1,903,0,768,0,2000,1,1203,8.98438257434735,7.16349658307396,2.27272727272727,6.14020214338286,3.24561403508772,820.75,1166.88,2059.2,1348.94333333333,1,0.833333333333333,0.454545454545455,0.649122807017544,820.75,934.833333333333,1064.78787878788,986.052631578947,221.163914942577,174.609087201478,325.627639871809,293.696966097263
"ctl509","M","fifth","school4","school4_fifth","control_1","participant",48,11,15043,10,16872,27,47187,79102,1,932,0,2000,1,1009,1,1273,1,1153,1,1979,1,1065,1,1128,1,1226,1,1094,1,1141,1,1043,1,1771,1,1068,1,1500,1,1295,1,1476,1,1355,1,1214,1,1135,0,2000,1,390,0,2000,1,1668,0,2000,0,758,1,1491,1,1515,0,1293,1,1447,1,1231,1,1508,1,1130,1,1220,1,1203,1,1412,1,1492,1,1550,0,1277,1,1222,0,1491,1,1759,1,1391,1,1358,1,1284,0,2000,1,1375,1,1280,1,1001,1,1289,1,1605,1,1674,1,1716,1,1760,1,1473,1,1513,1,1469,7.31295790736633,6.44710621021209,6.12555674741873,6.62854028833238,6.4909658593349,1293.52066115702,1544.64,1736.82304526749,1524.99456880817,0.916666666666667,0.833333333333333,0.818181818181818,0.842105263157895,1253.58333333333,1406,1429.90909090909,1387.75438596491,355.691505338119,446.50195968215,256.691006323308,326.557601607924
"ctl510","M","fifth","school4","school4_fifth","control_1","participant",55,12,8891,12,10150,31,33125,52166,1,854,1,722,1,795,1,688,1,743,1,642,1,680,1,710,1,685,1,853,1,787,1,732,1,859,1,870,1,895,1,712,1,905,1,707,1,760,1,974,1,953,1,957,1,822,1,736,1,1272,1,908,1,889,1,1096,1,1066,1,977,1,1043,1,923,1,1009,1,735,1,853,1,957,1,807,1,1104,1,1037,1,953,1,1192,1,1035,0,960,1,1050,1,1163,0,768,1,1105,1,990,1,1147,1,1023,1,897,1,977,1,1066,1,1060,1,1141,1,852,1,1070,8.95544467452265,8.4720515892207,7.66670665169965,8.36473430514767,8.15961616273895,740.916666666667,845.833333333333,1078.14880332986,888.299601109955,1,1,0.939393939393939,0.964912280701754,740.916666666667,845.833333333333,1003.78787878788,915.19298245614,68.2368313414035,97.2950838086557,122.882758548483,153.516453119677
