id,sex,grade,school,class_id,condition,status,age_mths,ed_level,esp_fl,foreign_born,activity,name,time,attendence,total_points_pre,fwd_att_pre,bwd_att_pre,total_points_post,fwd_att_post,bwd_att_post,nih_score_overall_pre,nih_score_hearts_pre,nih_score_flowers_pre,nih_score_mixed_pre,nih_score_overall_57_pre,ies_hearts_pre,ies_flowers_pre,ies_mixed_pre,ies_overall_pre,hnf_total_pre,score_hearts_pre,score_flowers_pre,score_heart_flowers_pre,time_seconds_hearts_pre,time_seconds_flowers_pre,time_seconds_heart_flowers_pre,total_time_pre,acc_prop_hearts_pre,acc_prop_flowers_pre,acc_prop_mixed_pre,acc_prop_overall_pre,rt_mean_hearts_pre,rt_mean_flowers_pre,rt_mean_mixed_pre,rt_mean_overall_pre,rt_sd_hearts_pre,rt_sd_flowers_pre,rt_sd_mixed_pre,rt_sd_overall_pre,nih_score_overall_post,nih_score_hearts_post,nih_score_flowers_post,nih_score_mixed_post,nih_score_overall_57_post,ies_hearts_post,ies_flowers_post,ies_mixed_post,ies_overall_post,hnf_total_post,score_hearts_post,score_flowers_post,score_heart_flowers_post,time_seconds_hearts_post,time_seconds_flowers_post,time_seconds_heart_flowers_post,total_time_post,acc_prop_hearts_post,acc_prop_flowers_post,acc_prop_mixed_post,acc_prop_overall_post,rt_mean_hearts_post,rt_mean_flowers_post,rt_mean_mixed_post,rt_mean_overall_post,rt_sd_hearts_post,rt_sd_flowers_post,rt_sd_mixed_post,rt_sd_overall_post,dccs_tv_score_pre,dccs_mean_acc_pre,dccs_mean_rt_pre,dccs_tv_score_post,dccs_mean_acc_post,dccs_mean_rt_post,precalc_puntaje_total_pre,precalc_puntaje_ambito_1_pre,precalc_puntaje_ambito_2_pre,precalc_puntaje_ambito_3_pre,precalc_puntaje_total_post,precalc_puntaje_ambito_1_post,precalc_puntaje_ambito_2_post,precalc_puntaje_ambito_3_post,tejas_puntaje_total_pre,tejas_puntaje_ambito_1_pre,tejas_puntaje_ambito_2_pre,tejas_puntaje_ambito_3_pre,tejas_puntaje_ambito_4_pre,tejas_puntaje_ambito_5_pre,tejas_puntaje_ambito_6_pre,tejas_puntaje_ambito_7_pre,tejas_puntaje_ambito_letra_pre,tejas_puntaje_total_post,tejas_puntaje_ambito_1_post,tejas_puntaje_ambito_2_post,tejas_puntaje_ambito_3_post,tejas_puntaje_ambito_4_post,tejas_puntaje_ambito_5_post,tejas_puntaje_ambito_6_post,tejas_puntaje_ambito_7_post,tejas_puntaje_ambito_letra_post,gain_corsi,gain_hnf_overall,gain_hnf_hearts,gain_hnf_flowers,gain_hnf_mixed,gain_hnf_57,gain_hnf_ies,gain_dccs,gain_precalc,gain_tejas
ctl501,M,fifth,school4,school4_fifth,control_1,participant,135.9,3,F,F,F,NA,NA,NA,5,1,0,9,3,3,7.298422192,7.600314068,7.472215748,6.822736759,7.18658951,1274.083333,1242.083333,1422.226667,1312.797778,54,12,12,30,15289,14905,44788,74982,1,1,0.909090909,0.947368421,1274.083333,1242.083333,1357.212121,1315.473684,317.400939,195.6864181,309.8490315,291.0660274,4.38957431,7.411147173,3.333333333,2.424242424,3.070175439,1248.396694,1630.125,2402.554688,1760.358794,35,11,8,16,14588,15528,44927,75043,0.916666667,0.666666667,0.484848485,0.614035088,1215.666667,1294,1361.424242,1316.54386,431.6674506,463.7569897,436.5435281,437.2889724,6.52844585,0.958333333,1773.521739,5.868138273,0.833333333,2233.5,68,17,21,30,63,17,21,25,70,17,10,15,6,12,5,5,27,66,16,8,15,6,12,5,4,27,4,-2.908847882,-0.189166896,-4.138882415,-4.398494335,-4.116414072,447.5610161,-0.660307577,-5,-4
ctl502,M,fifth,school4,school4_fifth,control_1,participant,132.3,3,F,F,F,NA,NA,NA,7,2,0,3,1,0,6.423492176,8.463046002,3.75,7.057430526,7.094640214,848.1322314,1561.925926,1373.203333,1261.087164,50,11,9,30,9009,15223,42058,66290,0.916666667,0.75,0.909090909,0.877192982,750.75,1268.583333,1274.484848,1162.982456,129.4359266,420.9602569,239.956913,342.2467516,5.326241963,3.75,8.289331948,3.939393939,6.86980281,1506.518519,972.3333333,1580.826923,1353.226258,47,9,12,26,13403,11668,44879,69950,0.75,1,0.787878788,0.824561404,1116.916667,972.3333333,1359.969697,1227.192982,478.2254049,273.7272476,357.0539599,399.2546376,7.228887735,0.916666667,1182.727273,7.491736981,0.916666667,1392.454545,62,17,20,25,65,17,21,27,60,14,8,14,4,12,3,5,26,61,16,9,15,5,9,6,1,24,-4,-1.097250214,-4.713046002,4.539331948,-3.118036587,-0.224837405,92.13909475,0.262849246,3,1
ctl503,M,fifth,school4,school4_fifth,control_1,participant,136.7666667,3,F,F,F,sports,180,NA,5,1,0,7,2,0,8.071480374,8.684943887,8.054596016,7.47490122,7.77360736,842.3333333,1040.333333,1266.729492,1049.79872,56,12,12,32,10108,12484,41307,63899,1,1,0.96969697,0.98245614,842.3333333,1040.333333,1251.727273,1121.035088,131.7769005,162.5447258,257.7329374,273.2473346,8.208366534,8.91353797,8.645164644,7.066396989,7.795356613,726,882,1309.140306,972.380102,52,12,12,28,8712,10584,36648,55944,1,1,0.848484848,0.912280702,726,882,1110.545455,981.4736842,63.51234669,204.0784163,257.2327607,269.64276,6.833400635,0.916666667,1615.363636,8.419292496,1,976.7916667,72,17,21,34,72,17,21,34,68,15,10,15,6,11,6,5,26,70,17,10,15,6,12,6,4,27,2,0.13688616,0.228594083,0.590568627,-0.408504231,0.021749253,-77.41861758,1.585891862,0,2
ctl504,M,fifth,school4,school4_fifth,control_1,participant,133.9666667,2,F,F,F,NA,NA,NA,7,1,0,6,1,0,8.492237869,9.117433074,8.069948585,8.289331948,8.270480906,816.8333333,938.8760331,955.3333333,903.6808999,56,12,11,33,9802,10889,31526,52217,1,0.916666667,1,0.98245614,816.8333333,907.4166667,955.3333333,916.0877193,307.1555227,188.5699573,133.1596004,196.6817844,6.737401992,8.496366757,8.230990733,3.484848485,7.397063007,979.3333333,999.1666667,1441.395085,1139.965028,47,12,12,23,12752,11990,37363,62105,1,1,0.696969697,0.824561404,979.3333333,999.1666667,1132.212121,1072.017544,371.7580673,236.8001971,400.0927828,367.0777697,6.99308805,0.916666667,1567.863636,7.327840893,0.916666667,1165.954545,61,17,21,23,65,17,21,27,65,16,8,15,6,11,5,4,26,70,16,10,15,6,12,6,5,27,-1,-1.754835877,-0.621066317,0.161042149,-4.804483463,-0.873417899,236.2841284,0.334752842,4,5
ctl505,F,fifth,school4,school4_fifth,control_1,rejected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctl506,F,fifth,school4,school4_fifth,control_1,participant,130.8333333,3,F,F,F,NA,NA,NA,7,1,3,5,1,0,8.32477304,8.782432634,8.376855782,7.815030706,8.013212859,802.1666667,905.75,1141.090909,949.6691919,57,12,12,33,9626,10869,37656,58151,1,1,1,1,802.1666667,905.75,1141.090909,1020.192982,51.63831089,86.75684411,183.585192,207.0442015,7.194802685,7.15427907,7.697434573,6.732694413,6.874628965,1193.157025,1162.08,1486.32,1280.519008,51,11,10,30,12910,12415,44762,70087,0.916666667,0.833333333,0.909090909,0.894736842,1075.833333,951.25,1265.515152,1159.421053,377.304274,415.4874738,511.6269467,478.4008312,7.296280001,1,1753.708333,3.541666667,0.708333333,1528.588235,64,17,15,32,67,17,21,29,67,16,9,15,6,12,4,5,27,65,17,9,14,4,12,6,3,26,-2,-1.129970355,-1.628153564,-0.679421209,-1.082336293,-1.138583893,330.8498163,-3.754613335,3,-2
ctl507,M,fifth,school4,school4_fifth,control_1,participant,154.7666667,3,F,F,F,NA,NA,NA,5,1,0,6,1,0,3.427761023,7.593889129,0.416666667,2.272727273,2.280701754,1071,13704,2194.28,5656.426667,26,10,1,15,11085,9987,30126,51198,0.833333333,0.083333333,0.454545455,0.456140351,923.75,832.25,912.9090909,898.2105263,230.7651797,140.9430091,250.6854807,226.8747874,3.698428548,8.67104322,0,2.424242424,2.456140351,840.1666667,NA,1713.292969,NA,28,12,0,16,10082,9880,26744,46706,1,0,0.484848485,0.49122807,840.1666667,823.3333333,810.4242424,819.4035088,137.0015483,98.41870973,109.1767576,111.9994993,8.561500845,0.958333333,1173.304348,7.923958243,0.875,956.0952381,45,14,18,13,47,14,18,15,43,7,7,13,5,5,2,4,18,45,9,7,14,6,5,2,2,19,1,0.270667525,1.077154091,-0.416666667,0.151515152,0.175438596,NA,-0.637542602,2,2
ctl508,M,fifth,school4,school4_fifth,control_1,participant,134.9,2,F,F,F,NA,NA,NA,7,1,0,5,1,0,6.140202143,8.984382574,7.163496583,2.272727273,3.245614035,820.75,1166.88,2059.2,1348.943333,37,12,10,15,9849,11218,35138,56205,1,0.833333333,0.454545455,0.649122807,820.75,934.8333333,1064.787879,986.0526316,221.1639149,174.6090872,325.6276399,293.6969661,6.505228493,8.30601012,3.75,7.459675358,7.578728293,1076.25,1220.592593,1144.523187,1147.121926,50,12,9,29,12915,10908,34182,58005,1,0.75,0.878787879,0.877192982,1076.25,909,1035.818182,1017.631579,404.2483766,128.7209808,324.3332058,314.521952,8.081126369,1,1296.375,7.994670621,0.958333333,1185.73913,64,17,21,26,67,17,21,29,62,12,10,15,5,10,6,4,25,63,15,9,15,5,11,5,3,26,-2,0.365026349,-0.678372454,-3.413496583,5.186948085,4.333114258,-201.8214069,-0.086455748,3,1
ctl509,M,fifth,school4,school4_fifth,control_1,participant,138.7333333,2,F,F,F,NA,NA,NA,7,3,0,7,2,0,6.628540288,7.312957907,6.44710621,6.125556747,6.490965859,1293.520661,1544.64,1736.823045,1524.994569,48,11,10,27,15043,16872,47187,79102,0.916666667,0.833333333,0.818181818,0.842105263,1253.583333,1406,1429.909091,1387.754386,355.6915053,446.5019597,256.6910063,326.5576016,7.333622037,7.65396874,7.965695603,6.381201767,7.090594554,1209.333333,1097.75,1603.193878,1303.425737,52,12,12,28,14512,13173,47311,74996,1,1,0.848484848,0.912280702,1209.333333,1097.75,1433.666667,1315.719298,190.2593127,326.5678615,308.424491,321.2793485,6.361878757,1,1927.25,6.0876184,0.875,1562.714286,65,17,21,27,67,17,21,26,55,11,8,14,3,11,6,2,25,65,16,9,14,4,12,6,4,26,0,0.705081748,0.341010833,1.518589392,0.255645019,0.599628695,-221.5688318,-0.274260357,2,10
ctl510,M,fifth,school4,school4_fifth,control_1,participant,133,4,F,F,F,NA,NA,NA,16,2,2,18,2,3,8.364734305,8.955444675,8.472051589,7.666706652,8.159616163,740.9166667,845.8333333,1078.148803,888.2996011,55,12,12,31,8891,10150,33125,52166,1,1,0.939393939,0.964912281,740.9166667,845.8333333,1003.787879,915.1929825,68.23683134,97.29508381,122.8827585,153.5164531,8.16623995,8.686686349,8.269749039,7.542284462,7.899107334,874.9166667,969.4166667,1152.983333,999.1055556,54,12,12,30,10499,11633,35263,57395,1,1,0.909090909,0.947368421,874.9166667,969.4166667,1068.575758,1006.929825,246.2321367,147.5573592,265.7738736,250.6493609,7.210511922,0.875,1240.571429,7.830656162,0.916666667,1096.636364,65,17,21,27,65,17,21,27,58,13,8,15,2,12,4,4,27,68,17,9,15,5,12,6,4,27,2,-0.198494355,-0.268758325,-0.20230255,-0.12442219,-0.260508829,110.8059544,0.62014424,0,10
