"id","sex","grade","school","class_id","condition","status","age_mths","ed_level","esp_fl","foreign_born","activity","name","time","attendence","total_points_pre","fwd_att_pre","bwd_att_pre","total_points_post","fwd_att_post","bwd_att_post","nih_score_overall_pre","nih_score_hearts_pre","nih_score_flowers_pre","nih_score_mixed_pre","nih_score_overall_57_pre","ies_hearts_pre","ies_flowers_pre","ies_mixed_pre","ies_overall_pre","hnf_total_pre","score_hearts_pre","score_flowers_pre","score_heart_flowers_pre","time_seconds_hearts_pre","time_seconds_flowers_pre","time_seconds_heart_flowers_pre","total_time_pre","acc_prop_hearts_pre","acc_prop_flowers_pre","acc_prop_mixed_pre","acc_prop_overall_pre","rt_mean_hearts_pre","rt_mean_flowers_pre","rt_mean_mixed_pre","rt_mean_overall_pre","rt_sd_hearts_pre","rt_sd_flowers_pre","rt_sd_mixed_pre","rt_sd_overall_pre","nih_score_overall_post","nih_score_hearts_post","nih_score_flowers_post","nih_score_mixed_post","nih_score_overall_57_post","ies_hearts_post","ies_flowers_post","ies_mixed_post","ies_overall_post","hnf_total_post","score_hearts_post","score_flowers_post","score_heart_flowers_post","time_seconds_hearts_post","time_seconds_flowers_post","time_seconds_heart_flowers_post","total_time_post","acc_prop_hearts_post","acc_prop_flowers_post","acc_prop_mixed_post","acc_prop_overall_post","acc_prop_overall_gain","rt_mean_hearts_post","rt_mean_flowers_post","rt_mean_mixed_post","rt_mean_overall_post","rt_sd_hearts_post","rt_sd_flowers_post","rt_sd_mixed_post","rt_sd_overall_post","dccs_tv_score_pre","dccs_mean_acc_pre","dccs_mean_rt_pre","dccs_tv_score_post","dccs_mean_acc_post","dccs_mean_rt_post","precalc_puntaje_total_pre","precalc_puntaje_ambito_1_pre","precalc_puntaje_ambito_2_pre","precalc_puntaje_ambito_3_pre","precalc_puntaje_total_post","precalc_puntaje_ambito_1_post","precalc_puntaje_ambito_2_post","precalc_puntaje_ambito_3_post","tejas_puntaje_total_pre","tejas_puntaje_ambito_1_pre","tejas_puntaje_ambito_2_pre","tejas_puntaje_ambito_3_pre","tejas_puntaje_ambito_4_pre","tejas_puntaje_ambito_5_pre","tejas_puntaje_ambito_6_pre","tejas_puntaje_ambito_7_pre","tejas_puntaje_ambito_letra_pre","tejas_puntaje_total_post","tejas_puntaje_ambito_1_post","tejas_puntaje_ambito_2_post","tejas_puntaje_ambito_3_post","tejas_puntaje_ambito_4_post","tejas_puntaje_ambito_5_post","tejas_puntaje_ambito_6_post","tejas_puntaje_ambito_7_post","tejas_puntaje_ambito_letra_post","gain_corsi","gain_hnf_overall","gain_hnf_hearts","gain_hnf_flowers","gain_hnf_mixed","gain_hnf_57","gain_hnf_ies","gain_dccs","gain_precalc","gain_tejas","z_gain_corsi","z_gain_hnf_overall","z_gain_hnf_57","z_gain_hnf_ies","z_gain_dccs","z_gain_precalc","z_gain_tejas","condition2","cond_grade","cond_grade2"
"ctl501","M","fifth","school4","school4_fifth","control_1","participant",135.9,3,FALSE,FALSE,FALSE,NA,NA,0,5,1,0,9,3,3,7.29842219181236,7.60031406845235,7.47221574790795,6.82273675907678,7.18658951010993,1274.08333333333,1242.08333333333,1422.22666666667,1312.79777777778,54,12,12,30,15289,14905,44788,74982,1,1,0.909090909090909,0.947368421052632,1274.08333333333,1242.08333333333,1357.21212121212,1315.47368421053,317.400938972471,195.686418134791,309.849031543565,291.066027441931,4.3895743100337,7.41114717252535,3.33333333333333,2.42424242424242,3.07017543859649,1248.39669421488,1630.125,2402.5546875,1760.35879390496,35,11,8,16,14588,15528,44927,75043,0.916666666666667,0.666666666666667,0.484848484848485,0.614035087719298,-0.333333333333333,1215.66666666667,1294,1361.42424242424,1316.54385964912,431.667450566739,463.756989655731,436.543528063284,437.288972378001,6.52844585037004,0.958333333333333,1773.52173913043,5.86813827290732,0.833333333333333,2233.5,68,17,21,30,63,17,21,25,70,17,10,15,6,12,5,5,27,66,16,8,15,6,12,5,4,27,4,-2.90884788177866,-0.189166895926999,-4.13888241457462,-4.39849433483436,-4.11641407151343,447.561016127181,-0.660307577462717,-5,-4,0.567786537337127,-2.66546431446167,-3.17865409737932,0.752587384064879,-0.790818351676501,-1.16070885288041,-1.18823233506186,"control","control_1_fifth","control_fifth"
"ctl502","M","fifth","school4","school4_fifth","control_1","participant",132.3,3,FALSE,FALSE,FALSE,NA,NA,0,7,2,0,3,1,0,6.42349217618143,8.46304600234581,3.75,7.05743052619847,7.09464021448474,848.132231404959,1561.92592592593,1373.20333333333,1261.08716355474,50,11,9,30,9009,15223,42058,66290,0.916666666666667,0.75,0.909090909090909,0.87719298245614,750.75,1268.58333333333,1274.48484848485,1162.98245614035,129.435926584967,420.960256887498,239.956912956801,342.246751587844,5.32624196255276,3.75,8.28933194826433,3.93939393939394,6.86980280990374,1506.51851851852,972.333333333333,1580.82692307692,1353.22625830959,47,9,12,26,13403,11668,44879,69950,0.75,1,0.787878787878788,0.824561403508772,-0.0526315789473684,1116.91666666667,972.333333333333,1359.9696969697,1227.19298245614,478.225404886428,273.727247567001,357.053959931871,399.254637623861,7.22888773522295,0.916666666666667,1182.72727272727,7.49173698106465,0.916666666666667,1392.45454545455,62,17,20,25,65,17,21,27,60,14,8,14,4,12,3,5,26,61,16,9,15,5,9,6,1,24,-4,-1.09725021362867,-4.71304600234581,4.53933194826433,-3.11803658680453,-0.224837404581001,92.1390947548523,0.262849245841707,3,1,-1.72818088140317,-1.24277219297184,-0.474289349608926,0.381862411279823,-0.111337666098112,-0.195625087564114,-0.591535858442849,"control","control_1_fifth","control_fifth"
"ctl503","M","fifth","school4","school4_fifth","control_1","participant",136.766666666667,3,FALSE,FALSE,FALSE,"sports",180,0,5,1,0,7,2,0,8.07148037438175,8.68494388689014,8.05459601636755,7.47490121988757,7.77360736009842,842.333333333333,1040.33333333333,1266.7294921875,1049.79871961806,56,12,12,32,10108,12484,41307,63899,1,1,0.96969696969697,0.982456140350877,842.333333333333,1040.33333333333,1251.72727272727,1121.0350877193,131.77690053705,162.544725779669,257.732937447767,273.247334643404,8.20836653420144,8.91353796961928,8.64516464369274,7.06639698929231,7.79535661312562,726,882,1309.14030612245,972.380102040816,52,12,12,28,8712,10584,36648,55944,1,1,0.848484848484849,0.912280701754386,-0.0701754385964912,726,882,1110.54545454545,981.473684210526,63.5123466880116,204.078416301186,257.232760708698,269.642760045792,6.83340063453467,0.916666666666667,1615.36363636364,8.41929249644755,1,976.791666666667,72,17,21,34,72,17,21,34,68,15,10,15,6,11,6,5,26,70,17,10,15,6,12,6,4,27,2,0.136886159819687,0.228594082729138,0.590568627325183,-0.408504230595259,0.0217492530272096,-77.4186175772394,1.58589186191288,0,2,-0.00620531734794668,-0.273574602238556,-0.302929430177651,0.20500421962101,0.862475104520401,-0.557531499557726,-0.472196563119046,"control","control_1_fifth","control_fifth"
"ctl504","M","fifth","school4","school4_fifth","control_1","participant",133.966666666667,2,FALSE,FALSE,FALSE,NA,NA,0,7,1,0,6,1,0,8.49223786902379,9.11743307420624,8.06994858460082,8.28933194826433,8.27048090580495,816.833333333333,938.876033057851,955.333333333333,903.680899908173,56,12,11,33,9802,10889,31526,52217,1,0.916666666666667,1,0.982456140350877,816.833333333333,907.416666666667,955.333333333333,916.087719298246,307.155522742983,188.569957278138,133.159600354862,196.681784389854,6.73740199186042,8.49636675728653,8.23099073344624,3.48484848484848,7.39706300729888,979.333333333333,999.166666666667,1441.39508506616,1139.96502835539,47,12,12,23,12752,11990,37363,62105,1,1,0.696969696969697,0.824561403508772,-0.157894736842105,979.333333333333,999.166666666667,1132.21212121212,1072.01754385965,371.758067304612,236.80019707199,400.092782799796,367.077769651652,6.99308805018901,0.916666666666667,1567.86363636364,7.32784089268595,0.916666666666667,1165.95454545455,61,17,21,23,65,17,21,27,65,16,8,15,6,11,5,4,26,70,16,10,15,6,12,6,5,27,-1,-1.75483587716337,-0.621066316919705,0.161042148845427,-4.80448346341584,-0.873417898506069,236.284128447215,0.334752842496938,4,5,-0.867193099375557,-1.75919035753641,-0.925005954723395,0.532213755638018,-0.0584137165399372,-0.0749896168995772,-0.114178677147638,"control","control_1_fifth","control_fifth"
"ctl506","F","fifth","school4","school4_fifth","control_1","participant",130.833333333333,3,FALSE,FALSE,FALSE,NA,NA,0,7,1,3,5,1,0,8.32477304049712,8.78243263372034,8.37685578193936,7.81503070583165,8.01321285856725,802.166666666667,905.75,1141.09090909091,949.669191919192,57,12,12,33,9626,10869,37656,58151,1,1,1,1,802.166666666667,905.75,1141.09090909091,1020.19298245614,51.6383108894467,86.7568441104216,183.585192015241,207.044201508871,7.19480268542695,7.15427906996903,7.6974345733159,6.73269441299592,6.87462896542285,1193.15702479339,1162.08,1486.32,1280.51900826446,51,11,10,30,12910,12415,44762,70087,0.916666666666667,0.833333333333333,0.909090909090909,0.894736842105263,-0.105263157894737,1075.83333333333,951.25,1265.51515151515,1159.42105263158,377.304273964019,415.487473829345,511.626946686507,478.400831168966,7.2962800012137,1,1753.70833333333,3.54166666666667,0.708333333333333,1528.58823529412,64,17,15,32,67,17,21,29,67,16,9,15,6,12,4,5,27,65,17,9,14,4,12,6,3,26,-2,-1.12997035507017,-1.62815356375132,-0.679421208623462,-1.08233629283573,-1.1385838931444,330.849816345271,-3.75461333454703,3,-2,-1.15418902671809,-1.26846812328864,-1.10927717165734,0.630851065168741,-3.06835229188708,-0.195625087564114,-0.949553744414257,"control","control_1_fifth","control_fifth"
"ctl507","M","fifth","school4","school4_fifth","control_1","participant",154.766666666667,3,FALSE,FALSE,FALSE,NA,NA,0,5,1,0,6,1,0,3.42776102281261,7.59388912904389,0.416666666666667,2.27272727272727,2.28070175438596,1071,13704,2194.28,5656.42666666667,26,10,1,15,11085,9987,30126,51198,0.833333333333333,0.0833333333333333,0.454545454545455,0.456140350877193,923.75,832.25,912.909090909091,898.210526315789,230.765179742998,140.943009114258,250.685480687001,226.87478743336,3.6984285480395,8.67104321987608,0,2.42424242424242,2.45614035087719,840.166666666667,NA,1713.29296875,NA,28,12,0,16,10082,9880,26744,46706,1,0,0.484848484848485,0.491228070175439,0.0350877192982456,840.166666666667,823.333333333333,810.424242424242,819.40350877193,137.001548321266,98.4187097265679,109.176757572019,111.999499305182,8.56150084498029,0.958333333333333,1173.30434782609,7.92395824333279,0.875,956.095238095238,45,14,18,13,47,14,18,15,43,7,7,13,5,5,2,4,18,45,9,7,14,6,5,2,2,19,1,0.270667525226892,1.07715409083219,-0.416666666666667,0.151515151515151,0.175438596491228,NA,-0.637542601647499,2,2,-0.293201244690484,-0.168512811801749,-0.196126435364833,NA,-0.774062410558359,-0.316260558228652,-0.472196563119046,"control","control_1_fifth","control_fifth"
"ctl508","M","fifth","school4","school4_fifth","control_1","participant",134.9,2,FALSE,FALSE,FALSE,NA,NA,0,7,1,0,5,1,0,6.14020214338286,8.98438257434735,7.16349658307396,2.27272727272727,3.24561403508772,820.75,1166.88,2059.2,1348.94333333333,37,12,10,15,9849,11218,35138,56205,1,0.833333333333333,0.454545454545455,0.649122807017544,820.75,934.833333333333,1064.78787878788,986.052631578947,221.163914942577,174.609087201478,325.627639871809,293.696966097263,6.50522849272541,8.30601012040956,3.75,7.45967535776669,7.57872829268813,1076.25,1220.59259259259,1144.52318668252,1147.12192642504,50,12,9,29,12915,10908,34182,58005,1,0.75,0.878787878787879,0.87719298245614,0.228070175438596,1076.25,909,1035.81818181818,1017.63157894737,404.248376620117,128.720980842639,324.333205837902,314.521951969456,8.08112636857421,1,1296.375,7.99467062052156,0.958333333333333,1185.73913043478,64,17,21,26,67,17,21,29,62,12,10,15,5,10,6,4,25,63,15,9,15,5,11,5,3,26,-2,0.365026349342553,-0.678372453937792,-3.41349658307396,5.18694808503941,4.33311425760042,-201.821406908296,-0.0864557480526527,3,1,-1.15418902671809,-0.0944105108203813,2.69315789664082,0.0752451419842991,-0.368440241452231,-0.195625087564114,-0.591535858442849,"control","control_1_fifth","control_fifth"
"ctl509","M","fifth","school4","school4_fifth","control_1","participant",138.733333333333,2,FALSE,FALSE,FALSE,NA,NA,0,7,3,0,7,2,0,6.62854028833238,7.31295790736633,6.44710621021209,6.12555674741873,6.4909658593349,1293.52066115702,1544.64,1736.82304526749,1524.99456880817,48,11,10,27,15043,16872,47187,79102,0.916666666666667,0.833333333333333,0.818181818181818,0.842105263157895,1253.58333333333,1406,1429.90909090909,1387.75438596491,355.691505338119,446.50195968215,256.691006323308,326.557601607924,7.33362203655303,7.65396874034727,7.96569560263656,6.38120176667525,7.09059455418459,1209.33333333333,1097.75,1603.19387755102,1303.42573696145,52,12,12,28,14512,13173,47311,74996,1,1,0.848484848484849,0.912280701754386,0.0701754385964912,1209.33333333333,1097.75,1433.66666666667,1315.71929824561,190.25931267774,326.567861526235,308.424491029274,321.279348541886,6.36187875701694,1,1927.25,6.08761839959198,0.875,1562.71428571429,65,17,21,27,67,17,21,26,55,11,8,14,3,11,6,2,25,65,16,9,14,4,12,6,4,26,0,0.705081748220644,0.341010832980942,1.51858939242447,0.255645019256525,0.599628694849689,-221.56883184672,-0.274260357424964,2,10,-0.580197172033021,0.172643341897365,0.0986550495026208,0.0546474716306941,-0.50667201476492,-0.316260558228652,0.482517799471375,"control","control_1_fifth","control_fifth"
"ctl510","M","fifth","school4","school4_fifth","control_1","participant",133,4,FALSE,FALSE,FALSE,NA,NA,0,16,2,2,18,2,3,8.36473430514767,8.95544467452265,8.4720515892207,7.66670665169965,8.15961616273895,740.916666666667,845.833333333333,1078.14880332986,888.299601109955,55,12,12,31,8891,10150,33125,52166,1,1,0.939393939393939,0.964912280701754,740.916666666667,845.833333333333,1003.78787878788,915.19298245614,68.2368313414035,97.2950838086557,122.882758548483,153.516453119677,8.1662399499519,8.68668634909646,8.26974903889739,7.54228446186184,7.89910733365887,874.916666666667,969.416666666667,1152.98333333333,999.105555555555,54,12,12,30,10499,11633,35263,57395,1,1,0.909090909090909,0.947368421052632,-0.0175438596491229,874.916666666667,969.416666666667,1068.57575757576,1006.9298245614,246.23213671557,147.557359160512,265.773873610518,250.649360921439,7.21051192168148,0.875,1240.57142857143,7.8306561615285,0.916666666666667,1096.63636363636,65,17,21,27,65,17,21,27,58,13,8,15,2,12,4,4,27,68,17,9,15,5,12,6,4,27,2,-0.19849435519577,-0.268758325426191,-0.202302550323306,-0.124422189837812,-0.260508829080079,110.805954445601,0.620144239847023,0,10,-0.00620531734794668,-0.536957153895819,-0.499078413573096,0.401332991552743,0.151645871857497,-0.557531499557726,0.482517799471375,"control","control_1_fifth","control_fifth"
"ctl511","F","fifth","school4","school4_fifth","control_1","participant",141.366666666667,3,FALSE,FALSE,FALSE,NA,NA,0,6,1,0,8,1,0,7.98958047863652,8.10587194138305,8.54067520628443,7.32219428824208,7.66111624012811,903.570247933884,985.833333333333,1267.56399583767,1052.32252570163,54,11,12,31,9475,11830,39245,60550,0.916666666666667,1,0.939393939393939,0.947368421052632,789.583333333333,985.833333333333,1189.24242424242,1062.28070175439,150.315703125324,310.807696562399,274.77957419346,305.360252955772,7.9976187328807,8.59074628286463,8.39720773230396,7.00490218347351,7.69539295007976,830.166666666667,910.333333333333,1372.30558858502,1037.60186286167,53,12,12,29,9962,10924,41742,62628,1,1,0.878787878787879,0.929824561403509,-0.0175438596491228,830.166666666667,910.333333333333,1264.90909090909,1098.73684210526,57.6901336031692,81.635924949891,294.867805511678,301.63154713253,6.9104955580841,0.916666666666667,1672.77272727273,7.23694203027949,0.958333333333333,1324.30434782609,69,17,21,31,70,17,21,32,66,13,9,15,6,12,6,5,27,68,17,9,15,4,12,6,5,27,2,0.00803825424418037,0.48487434148158,-0.143467473980468,-0.317292104768573,0.0342767099516452,-14.7206628399563,0.326446472195389,1,2,-0.00620531734794668,-0.374762025558623,-0.294223752303299,0.270401698408787,-0.064527540372124,-0.436896028893189,-0.472196563119046,"control","control_1_fifth","control_fifth"
