id,sex,grade,school,condition,status,hnf_total,score_hearts,time_seconds_hearts,score_flowers,time_seconds_flowers,score_heart_flowers,time_seconds_heart_flowers,total_time,pregunta_1,pregunta_1_time,pregunta_2,pregunta_2_time,pregunta_3,pregunta_3_time,pregunta_4,pregunta_4_time,pregunta_5,pregunta_5_time,pregunta_6,pregunta_6_time,pregunta_7,pregunta_7_time,pregunta_8,pregunta_8_time,pregunta_9,pregunta_9_time,pregunta_10,pregunta_10_time,pregunta_11,pregunta_11_time,pregunta_12,pregunta_12_time,pregunta_13,pregunta_13_time,pregunta_14,pregunta_14_time,pregunta_15,pregunta_15_time,pregunta_16,pregunta_16_time,pregunta_17,pregunta_17_time,pregunta_18,pregunta_18_time,pregunta_19,pregunta_19_time,pregunta_20,pregunta_20_time,pregunta_21,pregunta_21_time,pregunta_22,pregunta_22_time,pregunta_23,pregunta_23_time,pregunta_24,pregunta_24_time,pregunta_25,pregunta_25_time,pregunta_26,pregunta_26_time,pregunta_27,pregunta_27_time,pregunta_28,pregunta_28_time,pregunta_29,pregunta_29_time,pregunta_30,pregunta_30_time,pregunta_31,pregunta_31_time,pregunta_32,pregunta_32_time,pregunta_33,pregunta_33_time,pregunta_34,pregunta_34_time,pregunta_35,pregunta_35_time,pregunta_36,pregunta_36_time,pregunta_37,pregunta_37_time,pregunta_38,pregunta_38_time,pregunta_39,pregunta_39_time,pregunta_40,pregunta_40_time,pregunta_41,pregunta_41_time,pregunta_42,pregunta_42_time,pregunta_43,pregunta_43_time,pregunta_44,pregunta_44_time,pregunta_45,pregunta_45_time,pregunta_46,pregunta_46_time,pregunta_47,pregunta_47_time,pregunta_48,pregunta_48_time,pregunta_49,pregunta_49_time,pregunta_50,pregunta_50_time,pregunta_51,pregunta_51_time,pregunta_52,pregunta_52_time,pregunta_53,pregunta_53_time,pregunta_54,pregunta_54_time,pregunta_55,pregunta_55_time,pregunta_56,pregunta_56_time,pregunta_57,pregunta_57_time,pregunta_58,pregunta_58_time,pregunta_59,pregunta_59_time,pregunta_60,pregunta_60_time,pregunta_61,pregunta_61_time,pregunta_62,pregunta_62_time,pregunta_63,pregunta_63_time,pregunta_64,pregunta_64_time,pregunta_65,pregunta_65_time,pregunta_66,pregunta_66_time,pregunta_67,pregunta_67_time,pregunta_68,pregunta_68_time,pregunta_69,pregunta_69_time
ctl501,M,fifth,school4,control_1,participant,35,11,14.588,8,15.528,16,44.927,75.043,1,0,1,0,1,0,1,0,1,0,1,0,1,1.736,0,2,1,0.295,1,0.983,1,0.948,1,1.077,1,1.074,1,1.089,1,1.554,1,1.351,1,1.218,1,1.263,1,0,1,0,1,0,1,0,1,0,1,0,1,1.474,1,1.029,1,1.091,1,0.892,1,1.142,0,2,0,2,1,1.243,1,0.779,1,1.044,0,0.834,0,2,1,1.342,0,1.348,0,2,0,1.599,1,1.181,1,1.169,1,1.005,0,2,1,1.342,1,1.206,0,2,0,1.228,0,1.474,1,1.171,0,1.353,1,1.213,0,2,1,0.209,0,2,0,1.177,1,1.268,0,2,1,0.329,0,1.096,0,0.946,1,1.208,1,1.809,0,1.757,0,1.021,0,1.29,1,1.505,1,1.138,1,1.543
ctl502,M,fifth,school4,control_1,participant,47,9,13.402999999999999,12,11.667999999999997,26,44.87899999999999,69.94999999999999,1,0,1,0,1,0,1,0,1,0,1,0,1,0.964,1,1.324,1,1.021,0,1.175,1,0.864,0,2,0,0.059,1,1.616,1,0.887,1,1.11,1,0.908,1,1.475,1,0,1,0,1,0,1,0,1,0,1,0,1,0.976,1,0.928,1,1.786,1,0.836,1,0.959,1,0.821,1,0.918,1,0.881,1,0.809,1,0.997,1,1.055,1,0.702,1,0.949,0,0.732,1,1.163,1,1.309,1,0.922,1,1.182,1,1.086,1,1.29,1,1.308,1,1.121,1,1.647,1,1.287,1,1.383,1,1.134,1,1.297,1,1.09,0,1.764,1,1.428,1,1.416,0,2,1,1.545,1,1.261,0,2,1,1.792,0,2,0,2,1,1.256,1,1.132,0,2,1,0.935,1,1.263,1,1.253,1,0.934
ctl503,M,fifth,school4,control_1,participant,52,12,8.712000000000002,12,10.583999999999998,28,36.648,55.944,1,0,1,0,1,0,1,0,1,0,1,0,1,0.654,1,0.654,1,0.665,1,0.766,1,0.785,1,0.722,1,0.754,1,0.669,1,0.658,1,0.762,1,0.794,1,0.829,1,0,1,0,1,0,1,0,1,0,1,0,1,0.715,1,0.745,1,0.977,1,0.816,1,0.809,1,1.015,1,0.887,1,0.801,1,0.692,1,0.931,1,1.442,1,0.754,1,0.944,0,1.068,1,0.988,1,0.914,1,0.853,1,1.023,1,1.109,1,1.352,0,2,0,0.523,0,1.002,1,1.019,1,0.922,1,1.379,1,0.939,1,1.24,1,1.521,1,1.256,1,0.938,1,1.229,1,1.129,1,1.109,1,1.593,0,0.953,1,0.965,1,1.006,1,0.98,1,1.1,1,1.081,1,0.944,1,1.18,1,1.236,1,1.153
ctl504,M,fifth,school4,control_1,participant,47,12,12.751999999999999,12,11.99,23,37.363,62.105,1,0,1,0,1,0,1,0,1,0,1,0,1,1.004,1,0.763,1,0.852,1,0.766,1,0.902,1,0.882,1,0.658,1,0.797,1,0.76,1,0.862,1,1.744,1,1.762,1,0,1,0,1,0,1,0,1,0,1,0,1,0.953,1,1.476,1,0.885,1,0.833,1,0.863,1,0.755,1,0.791,1,0.969,1,1.463,1,1.067,1,1.003,1,0.932,1,1.881,0,1.527,0,1.069,1,1.042,1,0.928,1,0.847,1,0.994,0,0.779,1,0.826,1,1.061,0,0.978,1,0.933,1,1.019,1,0.89,0,1.037,1,1.002,1,1.497,1,1.198,1,0.821,1,0.765,0,2,1,0.967,1,0.906,1,0.946,1,1.106,1,0.817,0,2,0,2,0,2,0,0.867,1,0.781,1,0.892,1,0.987
ctl505,F,fifth,school4,control_1,rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctl506,F,fifth,school4,control_1,participant,51,11,12.91,10,12.415,30,44.762,70.087,1,0,1,0,1,0,1,0,1,0,1,0,1,1.504,0,0.879,1,0.999,1,1.609,1,1.257,1,0.872,1,0.869,1,1.418,1,1.194,1,0.259,1,0.767,1,1.283,1,0,1,0,1,0,1,0,1,0,1,0,1,0.647,0,1.158,1,1.752,1,0.825,1,1.709,0,0.573,1,0.522,1,1.077,1,0.549,1,0.811,1,0.868,1,0.924,1,1.522,1,1.322,0,0.359,0,0.464,1,1.358,1,1.084,1,0.718,1,1.715,1,1.773,1,1.98,1,1.817,1,0.631,1,0.551,1,1.845,1,1.911,1,1.914,1,1.874,1,0.391,1,1.49,1,1.739,0,0.403,1,1.683,1,1.269,1,1.16,1,1.35,1,1.152,1,1.382,1,1.428,1,0.989,1,1.308,1,1.591,1,0.555,1,1.034
ctl507,M,fifth,school4,control_1,participant,28,12,10.081999999999999,0,9.88,16,26.744,46.706,1,0,1,0,1,0,1,0,1,0,1,0,1,0.827,1,0.771,1,0.769,1,0.745,1,0.874,1,0.841,1,0.811,1,0.732,1,0.792,1,0.799,1,1.251,1,0.87,1,0,1,0,1,0,1,0,1,0,0,2,0,1.09,0,0.796,0,0.811,0,0.82,0,0.862,0,0.819,0,0.718,0,0.881,0,0.791,0,0.821,0,0.768,0,0.703,0,0.854,1,0.849,1,1.04,1,0.807,0,0.677,0,0.708,0,0.851,1,0.679,0,0.712,0,0.662,1,0.71,1,0.812,1,0.933,0,0.744,1,0.763,0,0.705,0,0.723,0,0.836,1,0.781,1,0.726,0,0.836,1,0.703,0,0.781,1,0.797,1,1.051,0,1.033,0,0.734,1,1.009,1,0.869,1,0.762,0,0.929,0,0.847,0,0.821
ctl508,M,fifth,school4,control_1,participant,50,12,12.915000000000001,9,10.908,29,34.182,58.005,1,0,1,0,1,0,1,0,1,0,1,0,1,1.572,1,0.962,1,0.877,1,0.747,1,1.698,1,0.953,1,0.77,1,1.897,1,0.999,1,0.882,1,0.802,1,0.756,1,0,1,0,1,0,1,0,1,0,1,0,1,0.959,0,0.716,1,1.098,1,0.833,0,0.82,0,1.133,1,1.009,1,0.935,1,0.866,1,0.899,1,0.905,1,0.735,1,1.123,1,1.264,1,1.863,1,1.497,1,1.11,1,1.209,1,1.097,1,0.831,0,2,1,0.216,1,0.99,0,0.932,1,1,1,1.023,1,1.117,0,0.761,1,1.06,1,0.958,1,1.32,1,1.037,1,0.946,1,0.789,1,0.827,1,1.125,1,0.798,1,0.876,1,0.908,1,0.862,0,1.321,1,0.795,1,1.009,1,0.747,1,0.771
ctl509,M,fifth,school4,control_1,participant,52,12,14.511999999999997,12,13.173,28,47.311,74.996,1,0,1,0,1,0,1,0,1,0,1,0,1,1.223,1,1.231,1,1.103,1,1.19,1,1.026,1,1.122,1,1.128,1,1.655,1,1.516,1,1.033,1,1.091,1,1.194,1,0,1,0,1,0,1,0,1,0,1,0,1,0.721,1,1.033,1,1.16,1,1.04,1,1.288,1,1.159,1,1.967,1,1.216,1,0.75,1,1.025,1,0.832,1,0.982,1,1.441,0,1.223,0,2,1,1.221,1,1.624,1,1.395,0,2,1,1.436,1,1.393,1,1.106,1,1.564,1,1.413,1,1.527,1,0.899,1,1.566,1,1.533,1,1.249,0,2,1,1.172,1,0.914,1,1.06,1,1.159,1,1.186,0,2,1,1.208,1,1.198,1,1.949,1,1.369,1,1.443,1,1.281,1,1.398,1,1.723,1,1.661
ctl510,M,fifth,school4,control_1,participant,54,12,10.499,12,11.633000000000003,30,35.26299999999999,57.394999999999996,1,0,1,0,1,0,1,0,1,0,1,0,1,0.709,1,0.749,1,0.72,1,0.745,1,1.56,1,1.072,1,1.011,1,0.822,1,0.676,1,0.829,1,0.779,1,0.827,1,0,1,0,1,0,1,0,1,0,1,0,1,1.17,1,1.02,1,0.914,1,1.254,1,1.002,1,1.12,1,0.846,1,0.904,1,0.806,1,0.848,1,0.945,1,0.804,0,2,1,1.858,1,1.074,1,1.27,1,1.189,1,0.916,1,1.041,1,1.087,1,1.333,1,0.955,1,1.008,1,0.963,1,0.859,1,0.865,1,1.027,1,1.035,1,0.9,1,1.137,1,0.969,1,0.833,1,0.997,1,1.133,1,1.025,0,0.861,1,0.946,1,1.062,1,0.848,1,0.779,0,0.957,1,1.437,1,1.025,1,1.035,1,0.839
