id,sex,grade,school,condition,status,hnf_total,score_hearts,time_seconds_hearts,score_flowers,time_seconds_flowers,score_heart_flowers,time_seconds_heart_flowers,total_time,pregunta_1,pregunta_1_time,pregunta_2,pregunta_2_time,pregunta_3,pregunta_3_time,pregunta_4,pregunta_4_time,pregunta_5,pregunta_5_time,pregunta_6,pregunta_6_time,pregunta_7,pregunta_7_time,pregunta_8,pregunta_8_time,pregunta_9,pregunta_9_time,pregunta_10,pregunta_10_time,pregunta_11,pregunta_11_time,pregunta_12,pregunta_12_time,pregunta_13,pregunta_13_time,pregunta_14,pregunta_14_time,pregunta_15,pregunta_15_time,pregunta_16,pregunta_16_time,pregunta_17,pregunta_17_time,pregunta_18,pregunta_18_time,pregunta_19,pregunta_19_time,pregunta_20,pregunta_20_time,pregunta_21,pregunta_21_time,pregunta_22,pregunta_22_time,pregunta_23,pregunta_23_time,pregunta_24,pregunta_24_time,pregunta_25,pregunta_25_time,pregunta_26,pregunta_26_time,pregunta_27,pregunta_27_time,pregunta_28,pregunta_28_time,pregunta_29,pregunta_29_time,pregunta_30,pregunta_30_time,pregunta_31,pregunta_31_time,pregunta_32,pregunta_32_time,pregunta_33,pregunta_33_time,pregunta_34,pregunta_34_time,pregunta_35,pregunta_35_time,pregunta_36,pregunta_36_time,pregunta_37,pregunta_37_time,pregunta_38,pregunta_38_time,pregunta_39,pregunta_39_time,pregunta_40,pregunta_40_time,pregunta_41,pregunta_41_time,pregunta_42,pregunta_42_time,pregunta_43,pregunta_43_time,pregunta_44,pregunta_44_time,pregunta_45,pregunta_45_time,pregunta_46,pregunta_46_time,pregunta_47,pregunta_47_time,pregunta_48,pregunta_48_time,pregunta_49,pregunta_49_time,pregunta_50,pregunta_50_time,pregunta_51,pregunta_51_time,pregunta_52,pregunta_52_time,pregunta_53,pregunta_53_time,pregunta_54,pregunta_54_time,pregunta_55,pregunta_55_time,pregunta_56,pregunta_56_time,pregunta_57,pregunta_57_time,pregunta_58,pregunta_58_time,pregunta_59,pregunta_59_time,pregunta_60,pregunta_60_time,pregunta_61,pregunta_61_time,pregunta_62,pregunta_62_time,pregunta_63,pregunta_63_time,pregunta_64,pregunta_64_time,pregunta_65,pregunta_65_time,pregunta_66,pregunta_66_time,pregunta_67,pregunta_67_time,pregunta_68,pregunta_68_time,pregunta_69,pregunta_69_time
ctl501,M,fifth,school4,control_1,participant,54,12,15.289000000000001,12,14.905000000000001,30,44.788000000000004,74.982,1,0,1,0,1,0,1,0,1,0,1,0,1,1.155,1,1.021,1,1.081,1,1.27,1,1.234,1,1.127,1,1.354,1,1.566,1,1.208,1,1.074,1,1.042,1,2.157,1,0,1,0,1,0,1,0,1,0,1,0,1,1.654,1,0.965,1,1.049,1,1.106,1,1.315,1,1.3,1,1.174,1,1.134,1,1.07,1,1.413,1,1.418,1,1.307,0,2,1,0.295,0,2,1,1.351,1,1.604,1,1.376,1,1.495,1,1.169,1,1.41,1,1.394,1,1.468,1,1.24,1,1.122,1,1.436,1,1.336,1,1.407,1,1.621,0,2,1,1.317,1,1.38,1,1.411,1,1.105,1,1.242,1,1.15,1,1.206,1,1.197,1,1.252,1,1.2,1,1.127,1,1.592,1,1.221,1,1.123,1,1.541
ctl502,M,fifth,school4,control_1,participant,50,11,9.009,9,15.223,30,42.05799999999999,66.28999999999999,1,0,1,0,1,0,1,0,1,0,1,0,1,0.972,0,0.457,1,0.747,1,0.732,1,0.736,1,0.664,1,0.679,1,0.758,1,0.86,1,0.867,1,0.838,1,0.699,1,0,1,0,1,0,1,0,1,0,1,0,1,1.072,1,1.053,0,2,1,1.652,1,1.287,1,1.108,1,0.792,0,0.68,0,2,1,1.289,1,1.054,1,1.236,1,1.307,1,1.069,1,1.037,1,1.745,1,1.233,1,0.906,1,1.292,1,1.447,1,1.145,1,1.46,1,1.428,1,1.569,1,0.963,1,1.05,1,1.24,1,1.133,0,1.301,1,1.206,1,1.069,1,1.328,1,1.536,1,1.148,1,0.884,1,1.26,1,1.072,1,1.199,0,1.306,1,1.202,1,1.492,1,1.574,1,1.317,0,2,1,1.14
ctl503,M,fifth,school4,control_1,participant,56,12,10.108,12,12.484000000000002,32,41.306999999999995,63.899,1,0,1,0,1,0,1,0,1,0,1,0,1,0.839,1,0.782,1,0.813,1,0.788,1,0.787,1,1.249,1,0.868,1,0.81,1,0.792,1,0.758,1,0.841,1,0.781,1,0,1,0,1,0,1,0,1,0,1,0,1,1.434,1,0.795,1,1.067,1,0.963,1,1.201,1,0.901,1,0.958,1,0.986,1,0.968,1,1.129,1,1.06,1,1.022,1,1.311,1,1.18,1,0.963,1,1.072,1,0.881,1,1.301,1,1.086,1,1.328,1,1.328,1,1.131,1,1.299,1,1.075,1,1.077,1,1.348,1,1.121,1,1.326,0,2,1,1.189,1,1.145,1,1.051,1,1.037,1,1.161,1,1.188,1,1.859,1,1.729,1,1.536,1,1.254,1,1.113,1,1.063,1,1.016,1,1.737,1,1.27,1,1.132
ctl504,M,fifth,school4,control_1,participant,56,12,9.802,11,10.888999999999998,33,31.525999999999993,52.216999999999985,1,0,1,0,1,0,1,0,1,0,1,0,1,1.577,1,1.34,1,0.738,1,0.646,1,0.676,1,0.683,1,0.612,1,0.724,1,0.659,1,0.675,1,0.783,1,0.689,1,0,1,0,1,0,1,0,1,0,1,0,1,0.955,1,0.831,1,0.872,1,0.748,1,0.818,1,0.747,0,1.422,1,1.081,1,0.9,1,0.907,1,0.748,1,0.86,1,1.329,1,0.913,1,0.948,1,0.821,1,1.219,1,0.859,1,0.992,1,0.965,1,1.003,1,0.892,1,1.133,1,1.068,1,0.725,1,1.042,1,0.816,1,0.902,1,1.005,1,0.973,1,0.865,1,0.912,1,1.132,1,0.807,1,1.081,1,1.022,1,0.901,1,0.902,1,0.923,1,0.87,1,0.737,1,0.79,1,1.08,1,0.909,1,0.99
ctl505,F,fifth,school4,control_1,rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctl506,F,fifth,school4,control_1,participant,57,12,9.626,12,10.869,33,37.656,58.151,1,0,1,0,1,0,1,0,1,0,1,0,1,0.766,1,0.768,1,0.774,1,0.766,1,0.876,1,0.766,1,0.773,1,0.791,1,0.761,1,0.862,1,0.813,1,0.91,1,0,1,0,1,0,1,0,1,0,1,0,1,0.929,1,0.827,1,0.905,1,0.837,1,0.884,1,0.873,1,0.908,1,0.875,1,1.106,1,0.976,1,0.77,1,0.979,1,0.903,1,1.01,1,0.827,1,1.197,1,1.019,1,1.002,1,1.076,1,1.053,1,1.258,1,1.147,1,0.978,1,1.352,1,1.051,1,1.082,1,1.079,1,1.264,1,1.162,1,1.14,1,1.127,1,1.08,1,1.169,1,1.063,1,1.046,1,1.208,1,1.166,1,1.094,1,1.09,1,1.258,1,1.411,1,1.288,1,1.91,1,1.038,1,1.108
ctl507,M,fifth,school4,control_1,participant,26,10,11.085,1,9.987000000000002,15,30.12600000000001,51.19800000000001,1,0,1,0,1,0,1,0,1,0,1,0,0,1.545,0,0.615,1,1.123,1,0.903,1,0.854,1,0.911,1,0.774,1,0.907,1,0.812,1,0.803,1,0.988,1,0.85,1,0,1,0,1,0,1,0,1,0,0,2,1,1.142,0,0.874,0,0.996,0,0.84,0,0.872,0,0.876,0,0.71,0,0.743,0,0.696,0,0.637,0,0.734,0,0.867,0,0.873,0,1.502,1,1.128,1,0.872,0,0.688,0,0.748,0,0.709,1,0.906,0,0.805,0,0.816,1,1.031,1,1.784,1,1.579,0,0.772,1,0.879,0,0.817,0,0.812,0,0.902,1,0.841,1,0.762,0,0.876,1,0.939,0,0.775,1,0.824,1,1.047,0,0.942,0,0.674,1,0.767,1,0.755,1,0.847,0,0.828,0,0.756,0,0.87
ctl508,M,fifth,school4,control_1,participant,37,12,9.848999999999998,10,11.217999999999998,15,35.13799999999999,56.204999999999984,1,0,1,0,1,0,1,0,1,0,1,0,1,1.013,1,0.921,1,1.443,1,0.712,1,0.704,1,0.711,1,0.688,1,0.68,1,0.8,1,0.727,1,0.751,1,0.699,1,0,1,0,1,0,1,0,1,0,1,0,1,1.189,1,0.616,0,0.719,1,1.015,1,1.035,1,0.886,1,0.821,1,1.035,0,0.775,1,0.926,1,1.11,1,1.091,1,1.366,0,1.532,0,1.292,0,1.334,1,1.031,1,0.738,0,0.995,0,1.09,1,0.907,1,0.891,0,1.809,0,1.363,0,1.251,1,0.788,1,1.028,1,1.006,1,0.775,0,0.734,0,0.482,0,1.049,1,0.867,0,0.782,1,0.956,0,1.101,0,0.996,1,0.729,1,0.852,0,1.015,0,1.505,1,0.903,0,0.768,0,2,1,1.203
ctl509,M,fifth,school4,control_1,participant,48,11,15.043,10,16.872,27,47.187000000000005,79.102,1,0,1,0,1,0,1,0,1,0,1,0,1,0.932,0,2,1,1.009,1,1.273,1,1.153,1,1.979,1,1.065,1,1.128,1,1.226,1,1.094,1,1.141,1,1.043,1,0,1,0,1,0,1,0,1,0,1,0,1,1.771,1,1.068,1,1.5,1,1.295,1,1.476,1,1.355,1,1.214,1,1.135,0,2,1,0.39,0,2,1,1.668,0,2,0,0.758,1,1.491,1,1.515,0,1.293,1,1.447,1,1.231,1,1.508,1,1.13,1,1.22,1,1.203,1,1.412,1,1.492,1,1.55,0,1.277,1,1.222,0,1.491,1,1.759,1,1.391,1,1.358,1,1.284,0,2,1,1.375,1,1.28,1,1.001,1,1.289,1,1.605,1,1.674,1,1.716,1,1.76,1,1.473,1,1.513,1,1.469
ctl510,M,fifth,school4,control_1,participant,55,12,8.891,12,10.15,31,33.12499999999999,52.166,1,0,1,0,1,0,1,0,1,0,1,0,1,0.854,1,0.722,1,0.795,1,0.688,1,0.743,1,0.642,1,0.68,1,0.71,1,0.685,1,0.853,1,0.787,1,0.732,1,0,1,0,1,0,1,0,1,0,1,0,1,0.859,1,0.87,1,0.895,1,0.712,1,0.905,1,0.707,1,0.76,1,0.974,1,0.953,1,0.957,1,0.822,1,0.736,1,1.272,1,0.908,1,0.889,1,1.096,1,1.066,1,0.977,1,1.043,1,0.923,1,1.009,1,0.735,1,0.853,1,0.957,1,0.807,1,1.104,1,1.037,1,0.953,1,1.192,1,1.035,0,0.96,1,1.05,1,1.163,0,0.768,1,1.105,1,0.99,1,1.147,1,1.023,1,0.897,1,0.977,1,1.066,1,1.06,1,1.141,1,0.852,1,1.07
